image_url,annotation_text_description,annotation_user_intent,annotation_has_synagogue
"https://sun9-74.userapi.com/s/v1/ig2/hbju1fFx_BoGbrq-HMHi3TUy4686UwAmLsUNwh3IEBbonWWvFJspzGu6hvI8DJZTGQlzhghJwwESylQcpxcFSple.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,1080x1440,1280x1707,1440x1920,1620x2160&from=bu&cs=1620x0","VR-шлем на стойке с монитором в помещении; кабели свисают к полу, на стене много маленьких фото; деревянный пол.",показать товар,False
"https://sun9-7.userapi.com/s/v1/ig2/WB7OhtBoadfL7b-mYxmGHbEukKXZABrxjO5bVZ5DSPM7ZH28Fc3536lS2jTk2QGuAEC8PiDEqWkfLVdh_DpSqG8H.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x214,240x320,360x481,480x641,540x721,640x855,720x961,1080x1442,1280x1709,1342x1792&from=bu&cs=1342x0",Женщина в клетчатом длинном пальто стоит возле белой кирпичной стены; видно её отражение в стеклянной двери слева.,показать пальто и стиль,False
"https://sun9-72.userapi.com/s/v1/ig2/i7pUvk_lFtzjUTT7L6VSWzBnv5VI3jacoByyRnuiBxymH865HVQdLEDtKtijUPG_Q0zLzcXK7PFen_ihe1P_ceDO.jpg?quality=95&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,1080x1080,1280x1280,1440x1440,1560x1560&from=bu&cs=1560x0","Зал с рядами красных кресел, вдоль окна стоят горшечные растения, в глубине виден шкаф/витрина.",передать интерьер зала с рядами кресел и окнами,False
"https://sun9-60.userapi.com/s/v1/ig1/Y_JTif6q18RNp-KQuYwqj7s0Y4zAIaY9FtBY_vZOpR4CKyRi9Ib6Uj4iEBEKqquTffvm5W7t.jpg?quality=96&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,960x960&from=bu&cs=960x0","Три женщины на селфи, крупным планом улыбаются, фон темный, внутри помещения",сделать селфи,False
"https://sun9-33.userapi.com/s/v1/if1/nvDGFGcuKEznkuPYRXkFKEGtqkl102FyVs1eXH_r1vX2zEO2wD9DZqGW8AaBG3GiZRf4k4I8.jpg?quality=96&as=32x29,48x44,72x66,108x98,160x146,240x219,360x328,480x437,540x492,640x583,720x656,960x875&from=bu&cs=960x0","Два мужчины стоят внутри перед картой мира на стене, один указывает пальцем на карту, второй рядом",показать карту мира,False
"https://sun9-59.userapi.com/s/v1/ig2/T_kig5rsakH1ENqiX1oSz5rvqm5b0bQWYqIQUsE7Gr3XuR2sSREGO7MBxzaWSLIzh-5qswU2IhwSYXGM3KYw2VZG.jpg?quality=95&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,1080x1080,1280x1280,1440x1440,1560x1560&from=bu&cs=1560x0",Интерьер: на переднем плане несколько стопок толстых переплетённых книг с надписью TORAH; слева частично виден музыкальный инструмент; на фоне окно с растениями.,показать интерьер с книжной коллекцией,False
"https://sun9-1.userapi.com/s/v1/ig1/_19WV_Ge_ofqXhsBDlnjrGjmN_EnbSg0CeADiCBwS9suZDFiUbWdrDpjDV_w-Yb7pZGR-qkF.jpg?quality=96&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,1080x1080,1280x1280,1440x1440,1499x1499&from=bu&cs=1499x0","Крупный план руки с маникюром: ногти тёпло-розового и золотистого градиента, блестящее покрытие; на изображении белый текст «РАБОТА УЧЕНИЦЫ» и «WHITE ROSE STUDIO PERM»",показать маникюр как услугу,False
"https://sun9-55.userapi.com/s/v1/ig2/jgjjQVpQNiUUg1RlePQCC_IQlewAJ7g9xAYgTIDCPEz-Hzs8hFWJK_xYCAoWuzUl4J800jaAsSlBOgpTirPFApO3.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x214,240x320,360x481,480x641,540x721,640x854,720x961,1080x1442,1280x1709,1440x1922,1618x2160&from=bu&cs=1618x0","Мужчина в сером свитере сидит за столом в кафе, держит вилку над тарелкой с едой; на фоне белые плиточные стены и красные стулья.",показать человека за столом в кафе,False
"https://sun9-29.userapi.com/s/v1/ig1/2FpLXkp3kNkQHcdQPDXy8EcKj6J95o7SI0vnVbncHYUZZZYYTiCB2mx47WMBl8dix2BMZLTB.jpg?quality=96&as=32x57,48x85,72x128,108x192,160x285,240x427,360x641,480x854,540x961,640x1139,720x1282,728x1296&from=bu&cs=728x0","Золотое кольцо с крупным камнем (бриллиантом) на белой подставке, крупный план",показать ювелирное изделие (кольцо) крупным планом,False
"https://sun9-31.userapi.com/s/v1/ig2/XvxgevVxMrL929at2h51_GJ5Qz_XRyQrtzDWhJgmoL-nAdcLLAdXw_rSh5LVIO74s6XcOlvjBdJDuPK_nNLoSlpi.jpg?quality=95&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,1080x1440,1280x1707,1344x1792&from=bu&cs=1344x0","Женщина в розовой куртке и белой футболке стоит перед светлой стеной, полный рост, руки в карманах, нейтральное выражение лица",показать одежду,False
"https://sun9-35.userapi.com/s/v1/ig1/uLrfthlH2kARJvF-idKZe4AVZVuAUhIOulCMd8n97GsZEGMf97_nBAbtgm6GoDWz_CIJBXjQ.jpg?quality=96&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,960x960&from=bu&cs=960x0",Женщина в тёмно-зелёном платье стоит внутри помещения среди крупных комнатных растений у окна,показать портрет женщины в интерьере,False
"https://sun9-2.userapi.com/s/v1/ig1/QCh84KssGTj19YY_WlwYbdglrOC01_dc76-Y7XKUGmQgyxUrwEGhXCCuHfMl-ZUULNGChTH_.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x214,240x320,360x481,480x641,540x721,640x855,719x960&from=bu&cs=719x0",Женщина в бежевом свитере стоит в помещении рядом с крупными декоративными цветами на зелёной стойке.,портрет в помещении на фоне декоративных цветов,False
"https://sun9-30.userapi.com/s/v1/ig2/qxRodo6cUx2T9iDrKVX1UDlRgevlxXLS0KbguAPwUxcaYfrr6a-2vWB1AMjN-NKJdME_vtZu8lF-ttyne28v0DM6.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,1080x1440,1280x1707,1440x1920,1620x2160&from=bu&cs=1620x0","Белая коробка с гелем Smartyum Max в руках; на переднем плане зелёный крест и надпись Smartyum Max, под ней фигура маркировки; под ней коричневая упаковка Atlanttea с рисунком дерева. Рука с розовым маникюром держит упаковку на столе.",показать упаковку товара,False
"https://sun9-6.userapi.com/s/v1/ig2/OqiMuJMGMeYHMie_PXXPwqysLyFzjAfL6IcWxeE1Bwn0UyqMPmI2uMBSWLm1LkXuV51Okg0_nuA6_dCwo1Zr_yX3.jpg?quality=95&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,1080x1440,1280x1707,1440x1920,1920x2560&from=bu&cs=1920x0","Девушка в желтом свитере сидит за столом в помещении с кирпичной стеной и большими окнами, читает открытую книгу/журнал.",показать человека читающего книгу,False
"https://sun9-82.userapi.com/s/v1/ig2/swNZAfPhlA3bNNIrYwliEXx29UVm53e-_6x0YDGlTExuqVHW8vViYUyakrHcIU2o3wFOGp_ET9YXq37KAxcz7Vba.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,1080x1440,1200x1600&from=bu&cs=1200x0","Страница документа с таблицами и печатями, лежащая на поверхности стола",показать документ,False
"https://sun9-70.userapi.com/s/v1/if2/-lpH9ZLBf9nz4B5_486o6RKyogU5Klhcy-qJr0VfIr2TJfcZ7fJYrKAxUrznWJ4i4iMnKKFQjP5SyL-BnofqKPls.jpg?quality=96&as=32x24,48x36,72x54,108x81,160x120,240x180,360x270,480x360,540x405,640x480,720x540,1080x810,1280x960,1440x1080,2560x1920&from=bu&cs=2560x0","Два пожилых человека сидят за столиком в кафе: слева женщина, справа мужчина. На столе тарелка с десертом и мобильное устройство. За стеклянной дверью виден вход; интерьер теплая цветовая гамма.",показать людей за столиком в кафе,False
"https://sun9-31.userapi.com/s/v1/ig2/qDya2hlqf90w7wi0kxLggQXk4s0Ne90o8NjaX4edjFgHXEBvMy9NeM4AsI-uaPwwooh6-m5K-nYSP7o9bq13wwfd.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,1080x1440,1280x1707,1440x1920,1620x2160&from=bu&cs=1620x0",Женщина в красных очках улыбается и держит вилку с кусочком еды над столом в кафе.,показать человека с едой,False
"https://sun9-66.userapi.com/s/v1/ig2/w_sT0l20ivm-6D5qrVrQjhnrbXkASinKfxvwyggveE0VftTi0WRy2OGs1Zgbjr6neWYVoo7nYhReEN-gANv7ISHR.jpg?quality=96&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,1080x1080,1280x1280,1440x1440,2160x2160&from=bu&cs=2160x0",Разноцветные конфеты-бусинки с буквами в белой треугольной тарелке на светлом фоне,показать конфеты в тарелке крупным планом,False
"https://sun9-88.userapi.com/s/v1/ig2/mWpegBeft7sJFz_KrHLUX0nptuz_vc2a1CN9z7gLaImG1_xRyLbL9_-pFTDtxHXux4t8cQYjYJvm_eRCxE4GDsmf.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,1080x1440,1280x1707,1440x1920,1620x2160&from=bu&cs=1620x0","Мужчина в ресторане держит вилку с куском еды, смотрит в камеру. Фон — интерьер зала с кирпичной стеной и кухонной зоной.",показать еду,False
"https://sun9-38.userapi.com/s/v1/ig1/cW2-oN-orDElcC1sWVmvm-NnsSmMVrPbvqsynz-iert6dNiMGOu9OnalKeFqryZCYo6Bqxlc.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,1080x1440,1218x1624&from=bu&cs=1218x0","Два блюда на деревянном подносе на темном столе: переднее блюдо с ярко-оранжевыми морепродуктами и соусом, рядом миска с другими морепродуктами/моллюсками; интерьер ресторана.",показать блюдо,False
"https://sun9-62.userapi.com/s/v1/ig2/vzd93n96Uhwwn9uoo1QP4VQ95ps6oy1LMN2-IezHGfvRWdY4oev6Axi-RfAa5EYxpjagVVpmIobzVM0Puh4Evsb0.jpg?quality=95&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,1080x1440,1280x1707,1440x1920&from=bu&cs=1440x0","Коричневая кожаная обложка книги с золотыми надписями: на иврите «תורה» и латинскими буквами «TOPA»; снизу подпись «C переводом на русский язык». Обложка лежит на синей поверхности, видны декоративные цепочки.",показать обложку религиозной книги,False
"https://sun9-58.userapi.com/s/v1/ig1/qn1COIh_yQmYJ5sxU9spbHv_JF8FxE41KKRsb3DNB2IauzFv1fKMZpSpwJ9Gk1dWAtU4OHwH.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,1080x1440,1280x1707,1440x1920,1620x2160&from=bu&cs=1620x0","Настенная декоративная панель с изображением енота и надписью #raccoon, в рамке, висит на светлой стене",показать настенную декоративную панель с енотом и надписью #raccoon,False
"https://sun9-59.userapi.com/s/v1/ig2/5HIZHXqGZsqz294AWBm10ZVoF0bSEv2yG0ZQG68GTH4I6kIiTORP_bjl-w2dMQWbcqQZBvNxSfumylcl2o4ZpePi.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,1080x1440,1200x1600&from=bu&cs=1200x0","Свиток пергамента с ивритским текстом, свернутые края сверху",показать свиток с текстом на иврите,False
"https://sun9-60.userapi.com/s/v1/ig2/XnYdjNF8qh5puIDzZ4eCNq7e6nDaJqAmNDiyUlasRFHZca7HVzHiQn7F9K8fF1JZR5X6oYAAF8OTdtcJ1k2anVlh.jpg?quality=95&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,1080x1440,1280x1707,1440x1920,1920x2560&from=bu&cs=1920x0","Портрет молодого человека в кепке и очках на улице, позирует у синей деревянной стены.",показать портрет человека,False
"https://sun9-80.userapi.com/s/v1/ig1/zpS3YKUVlRlzhuGb5vsqiBtZGclCrKneAB9RjaI8b9vt8pkE7yy_RdNU6Ew6Q26EINqdV3-A.jpg?quality=96&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,960x960&from=bu&cs=960x0",Крупный план руки с маникюром: ногти розового цвета с блеском; на фоне видна ткань футболки с голубым принтом,показать маникюр,False
"https://sun9-61.userapi.com/s/v1/ig2/SmRC-3eipM3gPfWho5pGOvJuEEZwiGk1CuWrapyj8B24XUI_yp1r8DXPxoU9Z5NmfPxXjx3aW-cUXwMptmT1SuMd.jpg?quality=95&as=32x57,48x85,72x128,108x192,160x284,240x427,360x640,480x853,540x960,640x1138,720x1280,900x1600&from=bu&cs=900x0","Человек в черной куртке и шапке сидит на красной металлической лестнице, рядом кирпичная стена; на фоне висят гирлянды огней.",показать портрет человека на лестнице в городской обстановке,False
"https://sun9-77.userapi.com/s/v1/ig1/1WwmSJbtR-qXP9Lif4VTyABzMazRiMrxQDuweChChgNEsH7RceZgYNqslgiJZ8Q7RplPbdU_.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x214,240x320,360x481,480x641,540x721,640x855,720x961,1002x1338&from=bu&cs=1002x0","Человек сидит за столом в помещении с кирпичной стеной и вывеской Иван Раковар. На столе свечи и меню, слева ярко освещённая свеча/лампа.",показать портрет человека в интерьере ресторана,False
"https://sun9-33.userapi.com/s/v1/ig2/Ysm2XVaqjZtRxWDPinz_N-6uQkaYyf-_7Q4DTwfYW1FZzWPicS6v8ygv5xx_-mn3VJjKj3pVSnPS9Z_x7SmS5FEW.jpg?quality=95&as=32x61,48x91,72x137,108x205,160x304,240x456,360x684,480x912,540x1026,640x1216,720x1368,842x1600&from=bu&cs=842x0","Женщина в розовом костюме с широкими рукавами и шляпой позирует на улице; на заднем плане вывески и красные китайские фонари, кирпичная стена и тротуар.",показать костюм/косплей на фоне городской улицы,False
"https://sun9-57.userapi.com/s/v1/if2/fDIOpfU7wPvvNaieoIvFUhGbMAkCiviaNBEcNKVPJorrSjUbYoRsApeQ6uOuB2IlWHY-guCFZpWkTUx3ypIWax-q.jpg?quality=96&as=32x24,48x36,72x54,108x81,160x120,240x180,360x270,480x360,540x405,640x480,720x540,1080x810,1280x960,1440x1080,2560x1920&from=bu&cs=2560x0","Двое людей сидят за столом в кафе: слева женщина, справа мужчина; на столе тарелка с пирогом и телефон; позади видны стеклянные двери/окна.",задокументировать сцену в кафе,False
"https://sun9-33.userapi.com/s/v1/ig2/0c0gdCV_FwmlCWKEWa9eubN-JiCLd9nJ_d8zTJAWxJKSNBuT41RizyACMZaLqQ7Xv0q2FFZrZvBNgRR_nPM-Nb5P.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x214,240x320,360x481,480x641,540x721,640x855,720x961,1080x1442,1280x1709,1342x1792&from=bu&cs=1342x0","Женщина позирует в помещении у белой стены: белая футболка, ярко-зелёные широкие брюки, белые кроссовки и зелёная бейсболка; поза с рукой на талии.",показать одежду,False
"https://sun9-57.userapi.com/s/v1/ig2/kBi8q02sI-We2-fmNukpccExBFlVDbMC2BU7fi0HuHKHPWcjc9-yc41UElXg-5rAzrdHHaTsfdcrngDCuRgt2ouH.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,1080x1440,1200x1600&from=bu&cs=1200x0","Мужчина в белой рубашке, с талитом, стоит за кафедрой в синагоге; держит книгу, за ним шторы с ивритскими буквами и настольная лампа",показать человека в синагоге во время чтения/молитвы,False
"https://sun9-39.userapi.com/s/v1/ig2/ubsDvIYhRJjVpcViGqKXLr75jNdYqrVduVywMj4uE6QIiOpgEEQ9LZjQ2F6f_5RyUslF9B99aEAFsTIpr0k0g5eV.jpg?quality=95&as=32x43,48x64,72x96,108x144,160x214,240x321,360x481,480x642,540x722,640x855,720x962,1080x1444,1197x1600&from=bu&cs=1197x0","Женщина делает селфи в помещении кафе/ресторана, крупный план лица, улыбка; на переднем плане стол и стул, на фоне кирпичная стена и другие люди за столами",сделать селфи,False
"https://sun9-28.userapi.com/s/v1/ig2/8kNvMLo9Pub4a5EORuMPw1RWQI7AuDesp9nhatmAimno-BEu0zKmAsotnxV4sTwRRjg0lQzYG8-d7r72uWVHmgFP.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,1080x1440,1200x1600&from=bu&cs=1200x0","Страница с таблицей букв на светлом фоне; видны клетки с символами иврита/кириллицей, рядом маленькая плюшевая игрушка.",показать страницу со учебной таблицей букв,False
"https://sun9-38.userapi.com/s/v1/if2/3aOSEP_2wzawFDEikZSbco-CHVs8ZcqPfnY5IRkGjOFB9tRuPTAoVCWaDQGKkc-R_zvAZdycrvF1D73IqBoX8vjq.jpg?quality=96&as=32x24,48x36,72x54,108x81,160x120,240x180,360x270,480x360,540x405,640x480,720x540,1080x810,1280x960,1440x1080,1600x1200&from=bu&cs=1600x0","Документ на русском языке с текстом, лежит на деревянной поверхности; видны организационные данные, банковские реквизиты и электронная почта.",показать текстовый документ с банковскими реквизитами,False
"https://sun9-36.userapi.com/s/v1/ig2/WdAH3IuS-jyn6NtM6jgHGXv-IJGs-DQlw7ebARh9nLVl44P85Sj-eYOlqZncRHhHZOFTBkJc3JeCCT0SG2hb9Fx9.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x214,240x320,360x481,480x641,540x721,640x855,720x961,1080x1442,1280x1709,1342x1792&from=bu&cs=1342x0","Женщина в черной асимметричной блузе с длинным рукавом и зебровыми широкими брюками позирует перед светлой стеной, кадр сфокусирован на торсе и нижней части лица.",показать одежду,False
"https://sun9-9.userapi.com/s/v1/ig2/gqzwL5jtXcvmZ4vy2o3dMqIjF9Y3Rzc9rqaqCNVKDjvhvqdjSBwUfp1ViUMr0gV2xnGef_P_61Yp9bvx_hzV_1_W.jpg?quality=95&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,1080x1440,1280x1707,1440x1920,1920x2560&from=bu&cs=1920x0","Женщина в черном пуховике с капюшоном стоит на заснеженной улице; рядом кирпичные стены, здания на заднем плане, над головой навес с гирляндами.",показать портрет человека на улице,False
