image_url,annotation_text_description,annotation_user_intent,annotation_has_feor
"https://sun9-64.userapi.com/s/v1/if2/J_j_1mMHqwU5IAb1yjglrMmt-8TcQuc-QS1IxTYnsUEn8PNalqI7EQaKxiyVY7APcm4J81iu4hm2zYWuNBPA_V2Q.jpg?quality=95&as=32x26,48x39,72x59,108x89,160x132,240x197,360x296,480x395,540x444,640x526,720x592,1080x888,1280x1053,1440x1185,2560x2106&from=bu&cs=2560x0","Группа людей на улице возле забора и стены; слева человек держит фотоаппарат, справа кто-то снимает на телефон; почва и деревья вокруг",сделать grupovую фотографию на улице,False
"https://sun9-65.userapi.com/s/v1/if2/a1ABEeZVVJTZGWGMXcmndK6m1stg0BHcSGAF2opAjzOvJIh59vm64FzVsdnxK73a-rra_y_gCHyMWaHaXpNVHfwa.jpg?quality=96&as=32x24,48x36,72x54,108x81,160x120,240x180,360x270,480x360,540x405,640x480,720x540,1080x810,1280x960,1440x1080,2560x1920&from=bu&cs=2560x0",Две девочки стоят рядом у выставочного стенда с фотографиями и коллажами на стене внутри помещения; слева видна растительность; перед ними круглый стол в белой скатерти с предметами.,показать двух детей возле экспозиции с фотографиями внутри помещения,False
"https://sun9-4.userapi.com/s/v1/if1/o9Ykn76PeoogB3vC5iIjtC4CW7vrL8RQLJG4wegrDJBX4am6Cm2JTxGmBszDKZVkWP3MLCYv.jpg?quality=96&as=32x24,48x36,72x54,108x81,160x120,240x180,360x270,480x360,540x405,640x480,720x540,1080x810,1280x960,1440x1080,2560x1920&from=bu&cs=2560x0","Интерьер классной комнаты: круглые белые столы и разноцветные стулья, яркие стены с полосами и надписью SMARTJ, радиатор вдоль стены",показать интерьер класса,False
"https://sun9-61.userapi.com/s/v1/ig2/9zzvIMRn6ogzlDlhrNf9zH0Aw-vEIugP4Y6neDcj1zujEhKpEQsQ7MHGDugJWPwiRrBTxblc90J_dJrU7lB9tiVq.jpg?quality=95&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x721,640x854,720x961,1080x1441,1280x1708,1388x1852&from=bu&cs=1388x0","Два мальчика за столом готовят суши: один стоит и обрабатывает ингредиенты на разделочной доске, рядом миски с рисом и овощами, на тарелке лежат готовые роллы",показать процесс приготовления суши,False
"https://sun9-77.userapi.com/s/v1/if1/agh2XPAYaUjGhBbxa7JbHQrDvsSN2H4Bvy6EZMmzwfMEYcVznG2JqqSnFD1T2vU6yCMivdkR.jpg?quality=96&as=32x24,48x36,72x54,108x81,160x119,240x179,360x269,480x359,540x403,640x478,720x538,1080x807,1280x956,1296x968&from=bu&cs=1296x0","Группа детей за столом в помещении, занятые созданием цветных бумажных поделок; на столе тетради и пластиковый лоток с бумажными цветами, на заднем плане видны другие дети.",показать детей за творческим занятием в классе,False
"https://sun9-54.userapi.com/s/v1/ig2/ELVZ5IUbx0DJRSeG4m53B4DQwhGf_LGphvUX_6T_OQUYSnm9YbMvGP5gFIkLxR21Q_9g0aZ_pIz0n7XZMvY1DiIB.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x214,240x320,360x481,480x641,540x721,640x855,720x961,1080x1442,1280x1709,1342x1792&from=bu&cs=1342x0","Женщина в медицинской маске и пластиковом фартуке режет лук на зеленой разделочной доске; справа лежат овощи и кухонный инвентарь: красный перец, терка, миска с натертой морковью, нож на доске. В фоне столы и стулья в помещении.",показать процесс приготовления пищи,False
"https://sun9-57.userapi.com/s/v1/ig2/Cxy_el7XhQX50MBvSdrPZ4RKyn0JkMvMsdUD1BClKMmVyF5AE7TOCBX4kVqeXUXsGEQSX64__o4Uuacgs2c_VCYE.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x721,640x854,720x961,1080x1441,1280x1708,1388x1852&from=bu&cs=1388x0","Женщина стоит в помещении за длинным столом, накрытым зелёной тканью, на котором расставлены тарелки с едой; она улыбается и показывает жест peace",показать человека на фоне сервировки стола,False
"https://sun9-32.userapi.com/s/v1/ig1/aVbh-Kj0UWaLhEtA3kuGK-au0r2YORae-toQXLVkcFClgzDBGcdUX62YWheowyapx3gdRTD6.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,1080x1440,1280x1707,1440x1920,1620x2160&from=bu&cs=1620x0",Бюст статуи на пьедестале у окна; на переднем плане улыбчивый мужчина с бородой.,показать бюст в интерьере; кадр с человеком рядом,False
"https://sun9-64.userapi.com/s/v1/if2/RW71c5gDB3uu7GwI4pxwyL9lW8i57PeUou05e3C7pkeiBSFuvn310lJhfoMQY08ioiWBAvI5pNSO-AqHCA99nJhh.jpg?quality=96&as=32x24,48x36,72x54,108x81,160x120,240x180,360x270,480x360,540x405,640x480,720x540,1080x810,1280x960,1440x1080,2560x1920&from=bu&cs=2560x0","Группа детей стоит вокруг круглого стола в помещении; на стене висят плакаты и декоративные элементы, пол деревянный, атмосфера учебного или кружкового занятия.",показать группу детей на мероприятии,False
"https://sun9-11.userapi.com/s/v1/ig2/oWbtUUlghBc3Mf_0vW4OZoB13GECi8JKCjyvjxJIbUvLrbvMn0RRh84ZJChNA3lAn4HUj-EyRgiXKLPpBkRL0RJU.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x721,640x854,720x961,1080x1441,1280x1708,1388x1852&from=bu&cs=1388x0","Мальчик в синей футболке стоит в помещении; взрослый мужчина держит его руку, на предплечье мальчика виден ряд кольцевых элементов/брекетов.",показать процесс осмотра/реабилитации руки,False
"https://sun9-15.userapi.com/s/v1/ig2/q6SwMte__WUE57VM3HdKlX4i9JjnHKYhRscfKpKh5trggwiMRU7OhDjP4NlChM0mxdZNMCdQp8ba5ruCtTXJ33eA.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x721,640x854,720x961,1080x1441,1280x1708,1388x1852&from=bu&cs=1388x0","Блюдо из жареных кусочков на белой тарелке, украшенной зеленью, на столе с бокалами, свечами и салфетками",показать еду,False
"https://sun9-72.userapi.com/s/v1/ig2/WieoAaGP-8XaYeFY1FgbNbSLniVDVLKMt7M_momU6RsQE5m398dv4FJq2Xa72OsLkP8R5tKFoHKd1KmKMNe9Xti-.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x721,640x854,720x961,1080x1441,1280x1708,1388x1852&from=bu&cs=1388x0",Три девушки в помещении у жёлтой стене держат горшки с жёлтыми цветами,показать трёх девушек с цветами на фоне жёлтой стены,False
"https://sun9-54.userapi.com/s/v1/ig1/_F5nvPvqHq8LyIp6jDZXNe6rULCeGHXhk61z4xkItdBTkpolcek9EgQx3BN-AY5uV5bYvA1u.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,1080x1440,1280x1707,1440x1920,1620x2160&from=bu&cs=1620x0",Три человека стоят в помещении перед декоративной фотостенд-рамкой: взрослый мужчина в полосатом свитере между двумя девочками в костюмах.,сделать групповое фото,False
"https://sun9-57.userapi.com/s/v1/ig1/sw7aQ065adBOIphOF8ToIf1-4m9ze-R7DrKExqTxVKGE7FjP8MKSxIePu--dHUrG8mm6iUBZ.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,1080x1440,1280x1707,1440x1920,1620x2160&from=bu&cs=1620x0","Три человека: взрослый мужчина между двумя детьми в помещении, на фоне детское оформление и надпись 'Happy'",показать группу людей на мероприятии,False
"https://sun9-56.userapi.com/s/v1/ig2/GPuRj_zuaBYVzaWWLrlPccsTpZZjths_XSCTzMWTGNVk7dtU53OhXjC2OMxFLLsRv55PKAnFgAozR3P2Bcs9zHCO.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x721,640x854,720x961,1080x1441,1280x1708,1388x1852&from=bu&cs=1388x0","Группа людей сидит за длинным столом в помещении, на столе фрукты, напитки и посуда; видны окна с занавесками на фоне.",задокументировать групповую встречу за столом,False
"https://sun9-80.userapi.com/s/v1/ig2/hFiB3OpgCauKmFH3SVzZvluix03cvwfmgufD8_iHOEKky1u5-4ZBPWwUmqk_KWEYe1cYCx53Jw2FdkfLbL2_5uTq.jpg?quality=95&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x721,640x854,720x961,1080x1441,1280x1708,1388x1852&from=bu&cs=1388x0",Руки человека ведут процесс рисования и раскрашивания на бумаге с панелями комикса на деревянном столе; вокруг лежат цветные карандаши и ручки.,показать процесс рисования и раскрашивания на столе,False
"https://sun9-33.userapi.com/s/v1/if1/uIOoljg4oqonRFVQpvntMwSBzUkmAe8_TWTMfI5NnzRUEjQSb_qXQxEtUejEtiQ0IAE-WQ.jpg?quality=96&as=32x24,48x36,72x54,108x81,160x120,240x180,360x270,480x360,540x405,640x480,720x540,960x720&from=bu&cs=960x0","Сцена с людьми на сцене под синим светом; зрители на переднем плане, экран и прожекторы на фоне",показать концерт/выступление на сцене,False
"https://sun9-70.userapi.com/s/v1/ig2/6pQ5NnIzh9CcnkiM3uVsdyypQgPTL6LLy-gA2Wv_8K2eMfly8kxWgYfJqZLSwtgRmj-9yh8ecyNlvOH74bNx1L5A.jpg?quality=95&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x721,640x854,720x961,1080x1441,1280x1708,1388x1852&from=bu&cs=1388x0","Пожар из деревянных поддонов на улице; пламя поднимается над кучей поддонов, вокруг стоят люди.",задокументировать городскую сцену,False
"https://sun9-88.userapi.com/s/v1/ig2/V7NNmtrveYpu-LG2yJN2tfuCcOdab5t3lp03NJ3e11azdv-fsVlC4TBP7s5VElfbn_rXhr_YQ_zsDI_A5EEUxP5T.jpg?quality=95&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x721,640x854,720x961,1080x1441,1280x1708,1388x1852&from=bu&cs=1388x0","Группа людей сидит за длинным столом в светлой комнате, за столом блюда и напитки; окна с занавесками. На стене оранжевый баннер с белым символом лампы.",показать группу людей за столом во время трапезы,False
"https://sun9-8.userapi.com/s/v1/ig2/d43QOxg9t-qUbZQzHjfnItk8BGm4bASDiDpuhuD3NTTG5O-CHawAsFf46V2HQwoaCIDoE7nh1KSELEtWvYo_xK_8.jpg?quality=95&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x721,640x854,720x961,1080x1441,1280x1708,1388x1852&from=bu&cs=1388x0","Группа людей на улице держит плакаты/таблички, участвуют в демонстрации.",задокументировать городскую сцену,False
"https://sun9-46.userapi.com/s/v1/ig2/Qs7EikQ_VQntNDkS0Qz61Y-LK7d2vb676CKtJZWpR8UjRAOJ9XQLn8DbFTwXGM64LZw3q7PAXu7amFhK4a4dFqJx.jpg?quality=95&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,1080x1440,1280x1707,1440x1920,1920x2560&from=bu&cs=1920x0",Группа девушек на улице возле башни из деревянных паллет; они взаимодействуют с конструкцией.,показать группу людей на улице,False
"https://sun9-4.userapi.com/s/v1/ig2/QRMjAF2w1MxNgOzs7UN2Xq3dedRU5iHwFlwC18CB2WnG96sAAXkX6Pxhck7Wrc2121UWJP1WEYk05TEEjC1gS1cD.jpg?quality=95&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x721,640x854,720x961,1080x1441,1280x1708,1388x1852&from=bu&cs=1388x0","Двое детей стоят внутри помещения перед яркой стеной с надписью ENERGY и рисунками, держат бумажные пакеты/сумки",позирует для фото,False
"https://sun9-33.userapi.com/s/v1/ig2/eAqp0cOqAzmkAdqeJa0OAb_uUL5Z9Qa3Vc-wFlnIrRX_OYCW52iSx2KrqyfQwQAagDDbunXMd_PERhkoEyeoWAI5.jpg?quality=95&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,1080x1440,1280x1707,1440x1920,1920x2560&from=bu&cs=1920x0","Девочка в очках держит собранную игрушку-конструктор в помещении, на фоне — стол с ноутбуком и картины на стене",показать ребенка с конструктором,False
"https://sun9-70.userapi.com/s/v1/ig2/hFkD1wVeC8coaWTT-KiExqV-nxYrB_eEAIptv4-ADRWhVJZ8Jr3YpFdGo9Yp2XXSmgVopXujgcz1mWsH7KydKfeI.jpg?quality=95&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x721,640x854,720x961,1080x1441,1280x1708,1388x1852&from=bu&cs=1388x0","Группа людей сидит за столом в помещении, на столе тарелки, напитки и еда; в комнате желтые стены и ярко пропускающие свет окна с занавесками.",показать групповое застолье,False
"https://sun9-19.userapi.com/s/v1/ig2/XmvvYAkA22s1N2tCm43O_PWG0Mc8pF-hW8Z5QkPBtD3L8ugOK7aVb4ydAHSXI1bbS16P-c1SFH-ZJYjhEb3NTxdY.jpg?quality=95&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x721,640x854,720x961,1080x1441,1280x1708,1388x1852&from=bu&cs=1388x0",Три молодых человека сидят на диване в комнате с оранжевыми стенами; все смотрят в телефоны.,показать бытовую сцену,False
"https://sun9-82.userapi.com/s/v1/if1/Zq0M8zYJ3f5YchdtxItapneTxmjXrarQkQanw3Ov-SCttUNhFfKmlZaVu1ToqE38KnjcSToI.jpg?quality=96&as=32x24,48x36,72x54,108x81,160x120,240x180,360x270,480x360,540x405,640x480,720x540,1080x810,1280x960,1440x1080,2560x1920&from=bu&cs=2560x0","Классная комната с круглыми столами и стульями, белая доска на стене, яркие цветные панели на стенах",показать интерьер класса,False
"https://sun9-13.userapi.com/s/v1/if1/UZTR8ZWKElh8fquYHZdNH0eQdRCqSO4DPCsz1BN4Ut7ajfoprx8ZATpZQtm0KoQwezN9-J1a.jpg?quality=96&as=32x24,48x36,72x54,108x81,160x119,240x179,360x269,480x358,540x403,640x478,720x538,1080x807,1280x956,1440x1075,2560x1912&from=bu&cs=2560x0","Двое взрослых за столом в ресторане, перед ними блюда и напитки",показать обед/ужин в ресторане,False
"https://sun9-54.userapi.com/s/v1/ig2/3klJnB7zJuhDmOTn6YAvhh3FW6v9jENMo2k2j9HEHM125wygt2c8K6gIhd3s0CGjdZR6qASWGlpCV3JL3AZxYx05.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,1080x1440,1280x1707,1440x1920,1620x2160&from=bu&cs=1620x0","Девочка в голубой кофтинке и черной юбке стоит indoors рядом с настенным коллажем из фотографий, она указывает на одну из фотографий.",показать ребенка возле коллажа с фотографиями,False
"https://sun9-51.userapi.com/s/v1/ig2/nNz9bsyLvMFJ6BCz0qJU70fCPG8szA-DvbhVfYAntEYQFsJfpVXZRRmKl5-HgCPsI2bWKIgPLRh_eNvkmAskc-sb.jpg?quality=95&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x721,640x854,720x961,1080x1441,1280x1708,1388x1852&from=bu&cs=1388x0",Две молодые женщины стоят внутри помещения перед ярко-жёлтой стеной с логотипом; одна держит большой лист с рисунком.,показать двух людей с рисунком на фоне стены,False
"https://sun9-88.userapi.com/s/v1/ig2/iR1Vv9KZQG0Q8cq0LWf5iFpmaDdg0YdAGO3dK5lH6khAC2aShko2tQjR4m7BdpbImxgTUIur6ZaPAIpr_Qpdv8Nk.jpg?quality=95&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x721,640x854,720x961,1080x1441,1280x1708,1388x1852&from=bu&cs=1388x0","Две девушки сидят за столом в помещении. На столе тарелки с закусками и суши, банки напитков и желтые бумажные стаканы, ярко-желтые салфетки. Фон — окно с занавесками и радиатор.",показать дружескую встречу за столом с едой,False
"https://sun9-30.userapi.com/s/v1/if2/vUJdUCiKty--Caoe4I_XWKxDfRhLm1Yk0F1UMjwKq888x_cctJvb6gJPHKQE11ONsJCvjP7JmbfhN0RnycxblNwj.jpg?quality=95&as=32x24,48x36,72x54,108x81,160x120,240x180,360x270,480x360,540x405,640x480,720x540,1080x810,1280x960,1440x1080,1920x1440&from=bu&cs=1920x0","Группа молодых людей стоит на открытой площадке у здания, перед ними костёр/очаг с углями. Люди улыбаются и позируют на камеры.",показать группу людей на улице,False
"https://sun9-49.userapi.com/s/v1/ig2/XvcA1ntV4-2gWx0P1bjcGvdoD5VGVdXph7gffRLmxfVRDRS1VskScCTr2tj67m4Hv4i3lYyjj8fyOy8aBTzd9Vuc.jpg?quality=95&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x721,640x854,720x961,1080x1441,1280x1708,1388x1852&from=bu&cs=1388x0","Группа людей сидит за длинным столом в помещении: окна с занавесками, часы на стене, баннер на стене.",задокументировать встречу группы,False
"https://sun9-78.userapi.com/s/v1/ig2/CUam110c6_362uar2PzIc4laS-KwaB2ye6wdFwsRhsNTF-N2kmC0fj9EJ-HYdUk60vgtEYr00Uw7JnL8vwnTeEHN.jpg?quality=95&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x721,640x854,720x961,1080x1441,1280x1708,1388x1852&from=bu&cs=1388x0","Группа людей за длинным столом в помещении на фоне желтых занавесей; на столе закуски, банки газировки, тарелки и посуда.",показать группу людей за столом во время еды,False
"https://sun9-11.userapi.com/s/v1/ig1/yG7m7b_NmnCTTKv5tooC0D_W6v9VnwOHPBlO-UvGLVHEJc8XEveMwDtywGvXf_5rttB9Rg.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,1080x1440,1280x1707,1440x1920,1620x2160&from=bu&cs=1620x0","Группа из трёх школьниц стоит перед чёрной доской в классе, слева стол с бумагами",показать школьное выступление перед классом,False
"https://sun9-25.userapi.com/s/v1/if1/sv64HYGNG-ocej-RyzYkZvn5HBV07VpkrUWwOgWHQpLmB86giptPCUrFKh6UikWsEL21624R.jpg?quality=96&as=32x24,48x36,72x54,108x81,160x120,240x180,360x269,480x359,540x404,640x479,720x539,1080x808,1280x957,1440x1077,2560x1915&from=bu&cs=2560x0","Уличная городская сцена: тротуар у ряда многоэтажек слева и вывески кафе справа; на тротуаре куча щепы/листвы; по улице проезжают автомобили, люди идут.",задокументировать городскую сцену,False
"https://sun9-16.userapi.com/s/v1/ig1/PzYLAgz20fPA_J9hf4OWfYx94au4i9w-pXb0nd8h5Y0ba05agHRNxa6BDIbgdaNPUIV31mva.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x214,240x320,360x481,480x641,540x721,640x855,719x960&from=bu&cs=719x0","Красное старое здание на улице зимой, ступени у входа, дверь и окна на фасаде, снег на тротуаре и вдоль дороги, фонарь слева, соседнее здание на фоне",показать старое здание,False
"https://sun9-29.userapi.com/s/v1/if1/3Bt30Qd4z5sBsBRn7Ejsm2MsswVctlAbY0EsuqlCs-a0Ydy1lijCwJTwFoOhEpXCtHecKA.jpg?quality=96&as=32x24,48x36,72x54,108x81,160x120,240x180,360x270,480x360,540x405,640x480,720x540,960x720&from=bu&cs=960x0","Группа исполнителей на сцене в синем освещении; на заднем плане экран с подсветкой, внутри театра/зала",показать сценическое выступление,False
"https://sun9-27.userapi.com/s/v1/if1/oe-OQH958DvZJKnxxwoQGGU-gytaAl1xAVe_GFjGbBznJA-JCwz0Fq5sZX4GSqQAtF7p5pjN.jpg?quality=96&as=32x24,48x36,72x54,108x81,160x120,240x180,360x270,480x360,540x405,640x480,720x540,1080x810,1280x960,1440x1080,2560x1920&from=bu&cs=2560x0","Группа детей в узком коридоре, позируют для фото, некоторые держат стаканчики",сделать групповой портрет детей,False
"https://sun9-13.userapi.com/s/v1/ig2/f2IWkpPKD0LNlwTiL2tQxRZozQPyWQeI_ltNQDUMjkKaaIZ3cA7wf5obhmkpmdEzZVcvJgYZkwF6aCRqLsSAKVVD.jpg?quality=95&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x721,640x854,720x961,1080x1441,1280x1708,1388x1852&from=bu&cs=1388x0","Группа из пяти человек сидит на диване в ярко окрашенной комнате, улыбаются и держат игровые устройства/геймпады","показать группу друзей на диване, играющих на устройствах",False
"https://sun9-52.userapi.com/s/v1/ig1/9Zj9Xzjoojo2ecKm7l30bft6UVxcH3MAcq8w4ObxA6b9dpRWITAuGFCP3j3OmHVdpy16_pI2.jpg?quality=96&as=32x43,48x64,72x96,108x145,160x214,240x321,360x482,480x643,540x723,640x857,720x964,968x1296&from=bu&cs=968x0","Женщина в красном рядом с двумя девочками в клетчатых платьях и венках из цветов на улице, возле стены здания и зелёных растений",сделать групповое фото,False
"https://sun9-60.userapi.com/s/v1/ig2/6WdQNmGvsWGOzh7Gyx-PqtAEMjqrKDb3OmG3OQAEJO9p-LtV4MbGh6DVD1PbjL4g2OA4SrhbaIFE-F2MvoANEFsY.jpg?quality=95&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,1080x1440,1280x1707,1440x1920,1920x2560&from=bu&cs=1920x0",Человек в голубой джинсовой куртке стоит у деревянной рамки с сеткой на детской площадке; в проёмах рамки видны красный и синий шарики; вокруг земля с травой.,зафиксировать игровую сцену на площадке,False
"https://sun9-64.userapi.com/s/v1/ig2/1uUM3YCJ0ByVLCqtPiqvzJj5UDocGczGhlmtTY2j472atmUWfWJgdQTGWUQqjKUoJC1DjECtbeFUXMpwBxP_dUhk.jpg?quality=95&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x721,640x854,720x961,1080x1441,1280x1708,1388x1852&from=bu&cs=1388x0","Два мужчины стоят возле стола в помещении и пожимают руки; на столе лежит блокнот, рядом стул и другие предметы. Желтая стена с плакатами и надписями на фоне.",показать рукопожатие между двумя мужчинами в помещении,False
