location,location_normalized,username,date,rating,text,text_en,business_response,source,filename
PokeRamen,PokeRamen,Ольга,2025-04-05,5,"We absolutely love going there!
The food is excellent – ​​beautifully presented and sooooo delicious! Yeah, you often have to wait, but that doesn't spoil the experience at all! It's a small …",,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Халил Сангинов,a month ago,5,A wonderful and secluded place in the city center. I tried the creamy ramen and blue cheese mussels. I was pleasantly surprised by the taste. The waiters were polite and helpful. I recommend it to everyone.,,,Google Maps,google-poke.html
PokeRamen,PokeRamen,рена камалтдинова,a month ago,5,"My favorite Asian cuisine in Perm ❤️ The portions are large, the selection is interesting, you can bring your cats and dogs, they even give you treats 😁 The staff is polite and very attentive! …",,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Света Шелест,2022-11-02,5,"The most delicious tom yum in town is made here! Delicious, fast, high-quality, and inexpensive! The staff and service are top-notch! I definitely recommend it 🤘 …",,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Катерина Кравцова,2022-11-02,5,"I love this place so much. They have probably the best tom yum in town. With a huge amount of seafood and a nice spicy (but not too spicy) taste. And my five-year-old daughter is a fan of their shrimp and mango poke. The menu also has pho bo and ramen variations, mochi and wonderful dim sums.",,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Светлана Петрова,2025-04-05,3,"The quality of the food has definitely deteriorated, unfortunately((( When Pokeraman first opened, it was the most delicious and rich Tom Yam in the city, I only ordered food there. Over time and with the promotion of the place, the food …",,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Данил Мерзляков,a year ago,5,"I was there recently after cosmetic repairs. Pleasant atmosphere, polite staff, delicious food - that's definitely about this establishment! I recommend it to both Perm residents and guests of the regional capital!",,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Helen Fadeeva,2025-06-04,5,"Such a cool place, but how is it open until 9:30 PM on Friday and Saturday weekends?????
That's crazy....😭😭😭🥵 …",,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Poul Menschenin,2025-04-05,1,"It gets worse with each visit. The soup was cold, but when we reheated it, it was simply awful. The wonton was completely burnt and dry. The waitress didn't offer a replacement or even a dessert as an apology. It's a shame they treated a guest like that.",,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Юлия Валиева,a year ago,1,"We often order delivery and come to eat ourselves. Today we ordered delivery at 11:00, the food they sent was not the freshest😩 it feels like the evening leftovers (fruit drink has a stale smell, the fish is weathered, the mussels have sauce that is impossible to eat ((I am very disappointed in you. …",,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Виктор Липатов,2022-11-02,5,"Great place, the most delicious tom yum in the city) The best seats are on the chairs along the kitchen) I recommend visiting!",,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Наталья Дулепинских,2025-07-04,5,"We liked everything very much, delicious food, polite staff, we will come again 😉 👍👍👍👍 …",,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Евгений Селянин,2025-07-04,1,"Having paid for the order online, I had to wait 35 minutes, and when I got home I realized that the order had not been fully assembled.",,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Денис Симанов,2023-11-02,1,"I was very disappointed with my last visit! Four of us and our 8-month-old baby decided to stop in for a bite to eat! We were prepared for the wait, no problem—the weather was nice—and waited 40 minutes! After ordering, we waited a loooong …",,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Алексей Осетров,a year ago,1,"Dismissive attitude towards customers. They seated us (my pregnant wife, my 2-year-old son, and me) on two high chairs. But they refused to move us to a table that became available three minutes after we supposedly sat down. ""Well, you guys …",,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Александра,a year ago,5,"We ordered delivery, our favorite curry ramen. The place has very tasty dishes, but the delivery was a letdown. The soup did not have the declared mushrooms, there were no mushrooms at all. Of the seafood, one shrimp, divided in half, two …",,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Ольга Коротаева,a year ago,1,"Unfortunately, the quality of the food has deteriorated greatly. I ordered poke and tom yum for delivery. The tom yum was very salty, it was impossible to eat. The poke had a huge amount of ginger (I don't know why it was there at all) and …",,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Julia Turbina,2023-11-02,1,"I don't know what's so popular about this place, it's way overrated for me. The first time I ate Tom Yum was on the advice of friends, other places had much tastier food and better service. I gave it a second chance and came for lunch. I …",,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Виктория Ткачева,2023-11-02,1,"We came from Rostov-on-Don, Perm residents recommended this place. They warned us that there was a line. We came and stood in line. It was pouring rain outside, naturally guests do not come out, even if they have finished eating. We waited …",,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Анна Дедкова,2023-11-02,5,"I really liked the food. The seafood ramen was delicious. We took it with us just in case we couldn't eat it all at once and sat outside. No one kicked us out, we were welcomed very warmly, all the waiters were kind and helpful, thank you very much! We got only pleasant emotions.",,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Артём Ерёмин,2023-11-02,1,"Didn't live up to expectations. Incorrectly warned about the wait time instead of 20 minutes, waited almost 40 minutes, careless attitude and incorrect behavior from the administrator. The manager did not notice the negative in the …",,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Рьюга Хидеки,a year ago,1,"If you remember this place as one of the most delicious Asian eateries in Perm, forget it. I ordered two poke bowls (which we used to love), duck dim sum, and mochi. The only thing you can tell from the delicious mochi is that this is the …",,,Google Maps,google-poke.html
PokeRamen,PokeRamen,стас михайлов,2025-01-05,1,"Hello, it’s definitely not for everybody, you sit like in a tin can, there’s very little space, the food is okay, half of it you can eat, but the second half of the menu is not edible, the prices are out of this world, maybe someone likes it that way too, I just wrote that I don’t like it that much.",,,Google Maps,google-poke.html
PokeRamen,PokeRamen,"Анна Филатьева .Толмачёва, Кондратова.",2022-11-02,5,"Very tasty
Large portions
Pleasant staff",,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Аполлинария Белкина,2022-11-02,5,"Cool bistro with its own atmosphere. Real cats who love their business. If you like Asian cuisine - this is the place for you. I really like the interior style, especially in the new place. All the little things are taken into account - …",,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Алексей Бондаренко,a year ago,5,"Beautiful place, beautiful delicious food, friendly staff, I really liked everything!",,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Victoria Lisitsyna,2025-02-04,5,"Atmospheric establishment with very tasty food. The establishment is small, so there are not always free seats. I will definitely come back here again",,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Анна Найдёнова,2022-11-02,5,"The interior is wow, the staff is wow, the food is wow. In general, everything is super. The only thing I didn't like was the white sauce in the poke. It seemed to me that it covered the taste of the rice, and the other sauce, and the …",,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Marina Soloveva,2023-11-02,5,"This is simply the best Asian restaurant in the world! Have you ever moaned while eating rolls? I did!!! It's so delicious that words can't describe it... If you don't believe it, just try it and you'll be shocked, really!",,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Михаил Витвицкий,2022-11-02,5,"One of the best places in the city! Service 5+, food 5+, cleanliness 5+! Prices are reasonable (nothing out of the ordinary, 700-900 rubles per person). Guys, owners, if you are reading this review - Thank you very much, I hope the quality will be at the same level for many years!",,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Maksim Nechaev,a year ago,5,"The atmosphere at this place is fantastic. The waiters are bold and talkative. It's nice when staff aren't afraid to recommend something. And the food, of course, is beyond reproach.",,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Григорий Фотин,a year ago,5,"Very tasty, spicy. I recommend it to everyone!",,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Кира,2023-11-02,5,"Great place, beautiful and beautiful)",,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Саша Пономарева,a year ago,1,"Terrible quality of noodles and rolls, previously a favorite delivery, I don't know what happened, maybe the cooks or the person who buys the products changed, vegetables with a moldy taste, fish in Philadelphia without taste and strange consistency (at a considerable price)",,,Google Maps,google-poke.html
PokeRamen,PokeRamen,_ rezzzy _,2024-12-06,5,We ordered Tom Yum noodles and curry ramen for delivery. Everything was delicious!,,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Bark at nothing,2022-11-02,5,"Favorite place in Perm. Of all the Asian cuisine cafes I've been to, this was the most delicious. Beautiful design, nice waitresses. And there's a swing in the yard, you can swing)",,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Uridhd Ehjeudud,2025-08-03,5,It was very tasty 😋 …,,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Павел Костарев,2022-11-02,5,"Everything is very tasty, there is little space, it is not comfortable to sit. With such a check, I would like more space. But the delicious food compensated for everything, so 5 points and respect 👍👍👍 …",,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Андрей Токарев,a year ago,5,"The best Tom Yum in the city!
Favorite establishment in Perm, excellent service, stylish interior, attentive and friendly staff!
Definitely recommend",,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Александр Казанцев,2021-11-02,5,What do you mean 4.8 rating?!?!? This place deserves a rating of 10000000!!!! Insanely delicious! The atmosphere is always top notch. I want to come back again and again!!! 🔥🔥🔥 …,,,Google Maps,google-poke.html
PokeRamen,PokeRamen,ANDREY KIRILYUK,2023-11-02,4,"Everything is delicious, the atmosphere is wonderful, the only downside is the wait, we waited 40 minutes for a free table outside",,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Имя Фамилия,a year ago,5,"A wonderful, atmospheric place. Large portions, nice service. I will come back about a hundred thousand times ❤️",,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Dead Gateway,2021-11-02,5,Nice place with delicious food. Polite waiters and good music. Inexpensive and filling. I'll be back more often.,,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Кок_65,2025-08-03,5,They cook quickly and deliciously.,,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Anton Lyzin,2024-12-06,5,"I ordered it for delivery, it was delivered on time, very tasty and filling.",,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Ксения Дробинина,a year ago,5,"I was with friends in this place the other day, good atmosphere and very tasty food... We'll come again)",,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Chest767,2023-11-02,2,"Very long wait in line, waiters are important, orders are not taken quickly, the establishment has deteriorated, they only promote delivery and atmosphere",,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Вадик Валик,2024-12-06,5,"Thank you very much, everything arrived quickly. I really like your lunches.",,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Татьяна Зверева,2022-11-02,5,"Very tasty, the staff is super. The place is of course small! When fully seated it is not comfortable!",,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Александр Нода,2022-11-02,5,"Tasty food, takeaway. Tom yum is very spicy, poke is very filling. Eel is especially good. Recommended",,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Abstract Memories,2024-12-06,5,Cool and delicious 😋 we really liked it …,,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Vladislava Pavlyuchenko,a year ago,5,My favorite place to order rolls. Always fresh fish.,,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Дмитрий Кубариков,2022-11-02,5,"A wonderful place with incredibly delicious cuisine and pleasant, friendly staff! I highly recommend it to lovers of Asian cuisine!))",,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Natalia Kotelnikova,2021-11-02,5,"A place with great taste. The Tom Yum Ramen and Kuksi are divine, and the portions are generous. I highly recommend it :)",,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Денис Попов,2022-11-02,5,"Very tasty, the spicy pork soup is just right, but the portions are huge, I am physically unable to eat that much 👍 …",,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Дмитрий Молокотин,2021-11-02,5,"Great place!🥢🦐
The most delicious tom yum in the city.
Personally verified😉 …",,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Григорий Ефременко,a year ago,5,"Great place, reasonable prices and very tasty food!",,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Ксения Рубцова,2023-11-02,5,"Incredibly delicious food, especially if you like Asian cuisine, the downside is that there is not enough space",,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Алексей Артамонов,2022-11-02,5,"A wonderful place, filling, delicious, wonderful!
The business lunches are simply amazing.",,,Google Maps,google-poke.html
PokeRamen,PokeRamen,лариса крышталь,2022-11-02,5,"Well, it's sooooo delicious!!! Friendly staff, super chefs and everything is really delicious!!! I recommend!!!👏👏👏👏👏👏👏👏❤👍 …",,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Максим Мельников,2021-11-02,5,"Excellent cuisine, excellent service, a pleasant cozy place, everything seems to be sincere there.",,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Елена Степанова,2021-11-02,5,Please become more visible! Because in my opinion this place has the best pho in town :),,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Yana Krivtsova (Yana),2022-11-02,5,"The best Tom Yum in town 👌

We updated the menu, come and try it 🤌 …",,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Степан Жуков,2022-11-02,5,"The best ramen on the planet, I need to take a girl on a date)",,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Михаил Миронов,2024-12-06,5,A wonderful authentic place with delicious food,,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Кирилл Мерзляков,2022-11-02,5,"Interesting place, they bring the order quickly, it's delicious)",,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Владислав Крылов,2023-11-02,3,Tom Yan without ginger and lemongrass is not very good..,,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Sergey Anufriev,2022-11-02,5,"Excellent cuisine, great staff and cool chefs",,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Lyudmila Slutskikh,2022-11-02,5,"Tasty food, large portions. Prepared quite quickly.",,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Sheldan,a year ago,5,The best thing that can happen to you is lunch/dinner at PokerMan),,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Александр Макаров,2022-11-02,5,"This is a very tasty place, you have to go and try everything!)",,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Анатолий Баранов,2022-11-02,5,"Delicious! Large portions.
Hospitable!",,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Natalya Rudakova,2022-11-02,5,Very tasty and heartwarming. Thank you.,,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Svetlov Perm,2022-11-02,5,"The portions are huge, everything is very tasty.",,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Ирина Худорожкова,a year ago,5,The best tom yam in Perm,,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Nick Alenin,2022-11-02,5,Great place. Unbelievably delicious.,,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Мария Попова,2022-11-02,5,Simply fire. Definitely recommend! Gun! Bomb! Fire!,,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Alexey Kiselev,2022-11-02,5,Excellent tom yum and poke!,,,Google Maps,google-poke.html
PokeRamen,PokeRamen,TOPCHIK_METRO,a year ago,5,Very tasty food,,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Валерий Сухин,2022-11-02,5,Everything is fire.,,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Дмитрий Красильников,2022-11-02,5,If Poke or ramen then here,,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Алексей Исаков,2022-11-02,5,"Delicious, plentiful, interesting",,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Julia G,a year ago,1,Disgustingly tasteless food!!!!,,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Юлия Полякова,2022-11-02,5,The best ramen in Perm!,,,Google Maps,google-poke.html
PokeRamen,PokeRamen,zab4ik #35,2022-11-02,5,Taste buds are delighted!,,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Анна Гурко,2022-11-02,5,Tasty and filling,,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Егор,a year ago,5,Good place,,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Lev Yakushev,2022-11-02,5,Perfect,,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Denis Pestrjakovs,2022-11-02,5,Large portions👍 …,,,Google Maps,google-poke.html
"Ryumochnaya ""Paradnaya""",Ryumochnaya Paradnaya,Алина аа,2025-10-18,5,"A true discovery and a favorite spot!

This place has an amazing ability to lift your spirits. You want to come back …",,,Google Maps,google-ryumochnaya.html
"Ryumochnaya ""Paradnaya""",Ryumochnaya Paradnaya,Catherine Keller,2025-10-11,1,"Yesterday, the three of us came to the bar. I've been there BEFORE. My friends haven't. I brought them, primarily, for the atmosphere and photos. A young man met us and asked for our passports. We were all adults, but one of us was 19. The …",,,Google Maps,google-ryumochnaya.html
"Ryumochnaya ""Paradnaya""",Ryumochnaya Paradnaya,Milana Devi,a year ago,5,"came here after a terrible experience at the boards. really liked it, the bartenders are sweet, we told them what flavor we wanted and they mixed us delicious cocktails, everyone is very friendly, the places outside are heated, we asked the …",,,Google Maps,google-ryumochnaya.html
"Ryumochnaya ""Paradnaya""",Ryumochnaya Paradnaya,Alexej Junusov,2025-05-05,5,"The most sincere and atmospheric place, when I came to drink rum with them, they told me about 5 types, their history of origin, what country they are from and how long they infused, I tried absolutely everything …",,,Google Maps,google-ryumochnaya.html
"Ryumochnaya ""Paradnaya""",Ryumochnaya Paradnaya,Artur Avetisyan,2023-11-02,3,"It may be fashionable, stylish, alcoholic,... But for a very long time.... (((. The bartender is handsome, he fixed everything that was possible, and that which was also impossible... Respect to him... It’s only because of him that you can visit this establishment!... And I’ll probably come again))...",,,Google Maps,google-ryumochnaya.html
"Ryumochnaya ""Paradnaya""",Ryumochnaya Paradnaya,Alena Polygalova,a year ago,1,The rude attitude of the staff is not pleasing. Kindergarten. I will not return again,,,Google Maps,google-ryumochnaya.html
