image_url,photo_id,user_id,date_human,annotation_text_description,annotation_user_intent,annotation_has_building
"https://sun9-70.userapi.com/s/v1/if2/-lpH9ZLBf9nz4B5_486o6RKyogU5Klhcy-qJr0VfIr2TJfcZ7fJYrKAxUrznWJ4i4iMnKKFQjP5SyL-BnofqKPls.jpg?quality=96&as=32x24,48x36,72x54,108x81,160x120,240x180,360x270,480x360,540x405,640x480,720x540,1080x810,1280x960,1440x1080,2560x1920&from=bu&cs=2560x0",457244163,33433452,2020-03-23 17:36:53,"Два пожилых человека сидят за столиком в кафе: слева женщина, справа мужчина. На столе тарелка с десертом и мобильное устройство. За стеклянной дверью виден вход; интерьер теплая цветовая гамма.",показать людей за столиком в кафе,True
"https://sun9-66.userapi.com/s/v1/ig2/w_sT0l20ivm-6D5qrVrQjhnrbXkASinKfxvwyggveE0VftTi0WRy2OGs1Zgbjr6neWYVoo7nYhReEN-gANv7ISHR.jpg?quality=96&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,1080x1080,1280x1280,1440x1440,2160x2160&from=bu&cs=2160x0",457259614,-20170464,2021-09-12 15:21:56,Разноцветные конфеты-бусинки с буквами в белой треугольной тарелке на светлом фоне,показать конфеты в тарелке крупным планом,False
"https://sun9-38.userapi.com/s/v1/ig1/cW2-oN-orDElcC1sWVmvm-NnsSmMVrPbvqsynz-iert6dNiMGOu9OnalKeFqryZCYo6Bqxlc.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,1080x1440,1218x1624&from=bu&cs=1218x0",457239325,-179672049,2020-03-24 06:51:31,"Два блюда на деревянном подносе на темном столе: переднее блюдо с ярко-оранжевыми морепродуктами и соусом, рядом миска с другими морепродуктами/моллюсками; интерьер ресторана.",показать блюдо,False
"https://sun9-62.userapi.com/s/v1/ig2/vzd93n96Uhwwn9uoo1QP4VQ95ps6oy1LMN2-IezHGfvRWdY4oev6Axi-RfAa5EYxpjagVVpmIobzVM0Puh4Evsb0.jpg?quality=95&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,1080x1440,1280x1707,1440x1920&from=bu&cs=1440x0",457242324,92313677,2022-05-24 11:19:16,"Коричневая кожаная обложка книги с золотыми надписями: на иврите «תורה» и латинскими буквами «TOPA»; снизу подпись «C переводом на русский язык». Обложка лежит на синей поверхности, видны декоративные цепочки.",показать обложку религиозной книги,False
"https://sun9-58.userapi.com/s/v1/ig1/qn1COIh_yQmYJ5sxU9spbHv_JF8FxE41KKRsb3DNB2IauzFv1fKMZpSpwJ9Gk1dWAtU4OHwH.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,1080x1440,1280x1707,1440x1920,1620x2160&from=bu&cs=1620x0",456239030,261699652,2018-01-21 17:57:54,"Настенная декоративная панель с изображением енота и надписью #raccoon, в рамке, висит на светлой стене",показать настенную декоративную панель с енотом и надписью #raccoon,False
"https://sun9-60.userapi.com/s/v1/ig2/XnYdjNF8qh5puIDzZ4eCNq7e6nDaJqAmNDiyUlasRFHZca7HVzHiQn7F9K8fF1JZR5X6oYAAF8OTdtcJ1k2anVlh.jpg?quality=95&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,1080x1440,1280x1707,1440x1920,1920x2560&from=bu&cs=1920x0",457362927,170198655,2023-04-26 19:51:20,"Портрет молодого человека в кепке и очках на улице, позирует у синей деревянной стены.",показать портрет человека,False
"https://sun9-61.userapi.com/s/v1/ig2/SmRC-3eipM3gPfWho5pGOvJuEEZwiGk1CuWrapyj8B24XUI_yp1r8DXPxoU9Z5NmfPxXjx3aW-cUXwMptmT1SuMd.jpg?quality=95&as=32x57,48x85,72x128,108x192,160x284,240x427,360x640,480x853,540x960,640x1138,720x1280,900x1600&from=bu&cs=900x0",457259865,237883497,2022-11-14 16:48:05,"Человек в черной куртке и шапке сидит на красной металлической лестнице, рядом кирпичная стена; на фоне висят гирлянды огней.",показать портрет человека на лестнице в городской обстановке,True
"https://sun9-77.userapi.com/s/v1/ig1/1WwmSJbtR-qXP9Lif4VTyABzMazRiMrxQDuweChChgNEsH7RceZgYNqslgiJZ8Q7RplPbdU_.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x214,240x320,360x481,480x641,540x721,640x855,720x961,1002x1338&from=bu&cs=1002x0",457239458,294750139,2019-11-14 16:43:01,"Человек сидит за столом в помещении с кирпичной стеной и вывеской Иван Раковар. На столе свечи и меню, слева ярко освещённая свеча/лампа.",показать портрет человека в интерьере ресторана,True
"https://sun9-57.userapi.com/s/v1/if2/fDIOpfU7wPvvNaieoIvFUhGbMAkCiviaNBEcNKVPJorrSjUbYoRsApeQ6uOuB2IlWHY-guCFZpWkTUx3ypIWax-q.jpg?quality=96&as=32x24,48x36,72x54,108x81,160x120,240x180,360x270,480x360,540x405,640x480,720x540,1080x810,1280x960,1440x1080,2560x1920&from=bu&cs=2560x0",457244164,33433452,2020-03-23 17:36:56,"Двое людей сидят за столом в кафе: слева женщина, справа мужчина; на столе тарелка с пирогом и телефон; позади видны стеклянные двери/окна.",задокументировать сцену в кафе,True
"https://sun9-28.userapi.com/s/v1/ig2/8kNvMLo9Pub4a5EORuMPw1RWQI7AuDesp9nhatmAimno-BEu0zKmAsotnxV4sTwRRjg0lQzYG8-d7r72uWVHmgFP.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,1080x1440,1200x1600&from=bu&cs=1200x0",457239696,444560976,2021-06-08 19:47:02,"Страница с таблицей букв на светлом фоне; видны клетки с символами иврита/кириллицей, рядом маленькая плюшевая игрушка.",показать страницу со учебной таблицей букв,False
"https://sun9-9.userapi.com/s/v1/ig2/gqzwL5jtXcvmZ4vy2o3dMqIjF9Y3Rzc9rqaqCNVKDjvhvqdjSBwUfp1ViUMr0gV2xnGef_P_61Yp9bvx_hzV_1_W.jpg?quality=95&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,1080x1440,1280x1707,1440x1920,1920x2560&from=bu&cs=1920x0",457245769,-194619161,2024-11-11 12:19:11,"Женщина в черном пуховике с капюшоном стоит на заснеженной улице; рядом кирпичные стены, здания на заднем плане, над головой навес с гирляндами.",показать портрет человека на улице,True
"https://sun9-35.userapi.com/s/v1/ig2/DnHPPJNAaHRYZzD19DVmKJxZs6OAuJujMt-SZpmQlYcfPU_rqAUbOy26axnaV_0zG20SIzbpf0aBY2qKXZz3-fJA.jpg?quality=95&as=32x43,48x64,72x96,108x144,160x214,240x321,360x481,480x642,540x722,640x855,720x962,1080x1444,1197x1600&from=bu&cs=1197x0",457239264,-214801568,2022-10-23 06:51:11,"Девушка в розовом плаще и шляпе стоит у кирпичной стены на улице; на окне подоконник с вазой ярко-розовых цветов, ветви украшены огнями/гирляндами. У неё длинная коса, в руках перчатки.",показать одежду,True
"https://sun9-11.userapi.com/s/v1/if2/vVj5obVFowFLSAflc_OeelpqEZkc_ZmUo6aHNdUU_VGTxpom8qZD8vY6lI_MZowPI8sQyH93M2fjgJznIqWmyCfz.jpg?quality=95&as=32x24,48x36,72x54,108x81,160x120,240x180,360x270,480x360,540x405,640x480,720x540,1080x810,1280x960&from=bu&cs=1280x0",457239076,-216919326,2022-11-02 09:45:33,"Жёлтое деревянное здание на улице в снегу, перед ним припаркованы автомобили; вокруг многоэтажные дома",показать фасад здания,True
"https://sun9-44.userapi.com/s/v1/ig2/-Kghwr-RBL924zaZbZeBEV77wNsi89Lia-FZ9ytS70iv698y3q5XO8Xah2k7oKpbQlDturjWWHzeeGcINrLVzhw5.jpg?quality=95&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,1080x1080,1280x1280,1440x1440,1560x1560&from=bu&cs=1560x0",457261204,91875183,2024-05-19 19:20:23,"Интерьер помещения с массивной деревянной балюстрадой спереди, на заднем плане резной шкаф и светильники на стойках; потолочные панели.",задокументировать интерьер помещения,True
"https://sun9-45.userapi.com/s/v1/if1/O3OsfOYJ-UsBUfTkkzQxqERjoJzyxbHrQMLludt8e4EnfCmj-Ew8-Hy9Qg_HekxvX0sDUNk6.jpg?quality=96&as=32x25,48x38,72x56,108x85,160x125,240x188,360x282,480x376,540x423,640x502,720x565,1080x847,1280x1004,1440x1129,2172x1703&from=bu&cs=2172x0",422260472,-79968906,2016-07-22 15:13:12,"Плоская композиция на светлом деревянном столе: ярко оформленная банка Like Honey и маленькая банка мёда в гнезде из соломы, рядом упакованная коробка и деревянная ложка.",показать товар,False
"https://sun9-7.userapi.com/s/v1/ig1/DZs4h0UksqkSuF7Uxm-SNTiuRdI_0peoLV5QViurMgilMXqUK0VmMJmZAC9srJBqevxH5O4w.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x214,240x320,360x481,480x641,540x721,640x855,719x960&from=bu&cs=719x0",456239109,449298869,2017-10-04 19:25:06,Женщина в черной кофте позирует в помещении перед белой стеной; слева заметны крупные бумажные цветы.,показать портрет человека,False
"https://sun9-59.userapi.com/s/v1/ig1/VeJx0xeqiEptf6vcFILYhOJr8xlZQ5Jw2m3AqkTi5RTp6tLAk8Aex7JO45MuxsibcyYJ1Q.jpg?quality=96&as=32x40,48x60,72x90,108x135,160x200,240x300,360x450,480x600,540x675,640x800,720x900,1080x1350,1224x1530&from=bu&cs=1224x0",456243817,63059081,2017-09-21 06:53:08,Две женщины улыбаются и делают селфи в помещении кофейни; на груди видны бейджики с именами.,сделать селфи,False
"https://sun9-56.userapi.com/s/v1/ig2/TfnXqhSnDpBYmoJvzfb-vJF6eVv0rxwbX2E-yCrQ-UfJaSqiAUJE77b6ZtGzCUxmQ79k-02suXv1EZp6JKJgebR-.jpg?quality=95&as=32x43,48x64,72x96,108x144,160x214,240x320,360x480,480x641,540x721,640x854,720x961,1080x1441,1280x1708,1440x1922,1918x2560&from=bu&cs=1918x0",457316353,222199696,2022-10-28 12:22:32,"Красные уличные фонари над красными скамейками; снег на лавках и на земле, кирпичная стена здания с окнами на фоне.",показать декоративные уличные фонари и урбанистическую мебель на улице зимой,True
"https://sun9-17.userapi.com/s/v1/ig1/PjEtY4miQ0bEIopLkBJWPT4Rw0cobNhaA7Wy7aYnoVQc9owFiYkTx8VBgZPbI5Zg7VV96KKr.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x214,240x320,360x481,480x641,540x721,640x855,719x960&from=bu&cs=719x0",456239104,449298869,2017-10-04 19:24:55,"Женщина стоит в помещении перед гигантскими декоративными цветами: розовое и белое цветочные фигуры на зеленой опоре; она одета в черную кожаную куртку, розовую мини-юбку, темные колготки и высокие сапоги. Позирует в легком ракурсе слева от камеры.",показать одежду,False
"https://sun9-43.userapi.com/s/v1/ig2/U-uu3VXbZ-CcKU0DfIAb1yTyRqt7RTMU2z4xYbj2NOyKZEF696U-XBm4_GFOjQb2a9IcmsBktq2UpzobOPm3tlJW.jpg?quality=95&as=32x43,48x64,72x96,108x144,160x214,240x320,360x480,480x641,540x721,640x854,720x961,1080x1441,1280x1708,1440x1922,1918x2560&from=bu&cs=1918x0",457316344,222199696,2022-10-28 12:22:15,"Уличный переулок с кирпичными домами, висят красные фонари и гирлянды, на мокрой от снега мостовой стоит женщина в темном пальто, слева и справа — red-цветные лавки.",сделать уличный портрет,True
"https://sun9-44.userapi.com/s/v1/ig1/S2S7WxdN2dQG8Z0k664a4yfx5Txr9Ac65mR-ZCYS6puo8gh7X3Y5ZZubfkMEjyMhWyEMEef0.jpg?quality=96&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,960x960&from=bu&cs=960x0",456239032,-58954545,2016-12-19 11:59:10,Синие сапоги с черным кантом и принтом листьев на стенде в магазине; видны ярлыки и одежда на витрине на заднем плане,показать обувь,False
"https://sun9-16.userapi.com/s/v1/if1/yx8egnaF2ZMz5UKZpg7VprEyshiaIDpz4w4bQ7HpQLTHEb6OXB138hwRB3YyEpcQq7mYObct.jpg?quality=96&as=32x24,48x36,72x54,108x81,160x120,240x180,360x270,480x360,540x405,640x480,720x540,960x720&from=bu&cs=960x0",348285315,221928518,2014-12-26 03:41:50,"Интерьер помещения с стеной, украшенной постерами персонажей из фильмов и сериалов. На столе стоит монитор, слева кресло, наверху расположен кондиционер.",показать интерьер помещения с постерами на стене,False
"https://sun9-74.userapi.com/s/v1/if1/HknEN6QafmXIns16jrq6hiRceIV7Q4Vdrg4833V2LKPNt5IyBnBrRnAzX4P0Af-pAHYokyNc.jpg?quality=96&as=32x25,48x37,72x56,108x84,160x125,240x187,360x280,480x374,540x421,640x498,720x561,1080x841,1280x997,1440x1122,2560x1994&from=bu&cs=2560x0",456240406,-129131427,2018-02-02 12:05:01,Белые кроссовки с рисунками размещены на белом столе вокруг коробки с надписью White lines и маленького растения,показать обувь,False
"https://sun9-74.userapi.com/s/v1/ig2/8Uu7x0pJMaXd6XGhyCgQolurecF7WdyB0RYyDz0YdFZKziYVCO9G3Km1VI3YqVsJLDv8saJqJIRRE5ll3umgGE13.jpg?quality=95&as=32x43,48x65,72x97,108x145,160x215,240x323,360x484,480x646,540x726,640x861,720x968,1080x1453,1280x1722,1440x1937,1840x2475&from=bu&cs=1840x0",457240245,-215880081,2023-06-18 14:05:03,"Два человека делают селфи в помещении: женщина в очках в черной футболке и джинсах, мужчина в черной футболке и джинсах, оба улыбаются и протягивают руки к камере.",сделать селфи,False
"https://sun9-69.userapi.com/s/v1/ig1/VZko8uI8XDWwvRCiBKhG1u3a9OhVDNOGe-Jm3cuvO-3-TKXUwGjQZVPwEmWJoRZR7IUd6xcC.jpg?quality=96&as=32x57,48x85,72x128,108x192,160x284,240x427,360x640,480x853,540x960,640x1138,720x1280&from=bu&cs=720x0",457247483,261660768,2019-10-03 18:38:22,Женщина в длинном светло-сером меховом пальто позирует у витрины магазина на улице; на витрине видна надпись 'New collection Winter 2019-2020'.,показать меховую шубу,True
"https://sun9-83.userapi.com/s/v1/ig2/xktzd9UbhJBE1O3UCiW7nfUVki_fs-l3wmZAWD_tkO2EcO1ZvYgsaWuCW4dekOnLNgtVr5IO1Sl5odwdcmn_Fg9h.jpg?quality=95&as=32x43,48x64,72x96,108x144,160x214,240x321,360x481,480x642,540x722,640x855,720x962,1080x1444,1197x1600&from=bu&cs=1197x0",457239265,-214801568,2022-10-23 06:51:11,"Женщина в розовом пальто и шляпе стоит рядом с кирпичной стеной, левая рука в перчатке касается стены; на подоконнике — вазон с сухоцветами, рядом окно в старом здании.",показать портрет на фоне городской стены,True
"https://sun9-4.userapi.com/s/v1/ig2/X9wI6pWrSdvzFy6V2fcojxtpbgluh91rYvdyQ0j_hd7myzI0VsLapu6NYj2YTbR5l7qEVESSdZTfMsi38U94Vw-Q.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,1080x1440,1218x1624&from=bu&cs=1218x0",457239500,-179672049,2021-07-21 05:42:17,"Тарелка с раками на столе, рядом бокал пива; интерьер ресторана с красными стульями на заднем плане.",показать еду,False
"https://sun9-80.userapi.com/s/v1/ig2/6CVdB_K_iYLMh0U1xYvRUGibml4Iao8_X2_XsgrMhbuhPoXQGmVitxPznvjd4HR0WgagYgajCVax4dDxXSZBWr0f.jpg?quality=95&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,1080x1080,1280x1280,1440x1440,1560x1560&from=bu&cs=1560x0",457261214,91875183,2024-05-19 19:20:43,Витрина с фарфоровой посудой на тарелке в стеклянной витрине; видны отражения рамы и окон,показать посуду,False
"https://sun9-15.userapi.com/s/v1/ig1/3M0W2PjoysBwOhg5J4Gw2eZcq9XwGC6rssVw-EIyWWC1iVpyFs2vrQ0i-xeHX3iUbD72HeC5.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x214,240x320,360x480,480x641,540x721,640x854,720x961,959x1280&from=bu&cs=959x0",457239249,-179672049,2020-01-17 13:02:26,"Блюдо с лобстером на тарелке с соусом в чаше, на деревянной подставке в ресторанном интерьере",показать еду,False
"https://sun9-67.userapi.com/s/v1/ig2/d2nHGlMVXn5kx6YvelvMEwXMebjtfCdiCZmCyx095Q5jC_fuD5ILP5iBlqRcfatywooba70yJMf3FbF6Dqldnw4y.jpg?quality=96&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,960x960&from=bu&cs=960x0",456240477,-38130267,2017-04-04 07:27:26,"Интерьер магазина одежды: манекен в сером костюме справа, вдоль стены висит одежда на вешалках; на переднем плане стеллажи с одеждой и аксессуарами.",показать интерьер магазина одежды,False
"https://sun9-24.userapi.com/s/v1/ig2/6OHxtbgQlp2lCKMP9IQbVWmJ7yTFhoCdRwmYtcuxSw1Y6tI6PmukmcHV0PWK5IQlbzkTCNLdiJyHCRx1leBZzr6q.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,1080x1440,1280x1707,1440x1920,1620x2160&from=bu&cs=1620x0",457244139,33433452,2020-03-17 02:55:10,"Группа людей сидит за длинным деревянным столом в кафе. На стене за ними декоративная карта мира и крупная надпись, люди улыбаясь смотрят в камеру.",показать группу людей за столом в кафе,False
"https://sun9-57.userapi.com/s/v1/ig1/3xIvtciN_MYgQ3b6RkqJPx25AOAuAp9v5ZPCRjMJ-VAVy1hftfY82ehNvnWcz69Z3uGBqltv.jpg?quality=96&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,1080x1080,1280x1280,1440x1440,2160x2160&from=bu&cs=2160x0",456239020,522934788,2019-02-11 21:18:35,Двое молодых мужчин сидят за высоким столом в тёпло освещённом кафе; на фоне видна вывеска и другие посетители,показать людей в кафе,False
"https://sun9-18.userapi.com/s/v1/ig2/dUbzaHo3cM6ETpsNlDJ69OAdJTNKF6QWHdPicM3T5z-huvQDJmDRUgwQ9RhlQ0gbJkXJz8KKZg5fu9KsZgwAFvOs.jpg?quality=95&as=32x44,48x65,72x98,108x147,160x218,240x327,360x491,480x655,540x737,640x873,720x982,1080x1474,1280x1747,1440x1965,1742x2377&from=bu&cs=1742x0",457245770,-194619161,2024-11-11 12:19:11,"Человек в черном пуховике с капюшоном, руки перекрестились перед собой; частично видна улыбка; на фоне снег.",показать одежду,False
"https://sun9-39.userapi.com/s/v1/ig2/S1INRRtpLdV6cEs6aU1Oz1-HISaF5FJ0bpqluJXROHACFZ5UrGB4HBZHSVa_f1PEXTpGhBiqIZLEDpZd_BKKzJ1C.jpg?quality=95&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,1080x1440,1266x1688&from=bu&cs=1266x0",457240759,63064211,2022-09-08 12:54:25,Человек стоит посреди узкой городской улицы под яркими красными фонарями; слева и справа — здания и вывески.,портрет на улице,True
"https://sun9-29.userapi.com/s/v1/ig2/XHoYBxWWHBbCFGRcTPkrcqK-P66XBM5RXYl0FT8HizVnozQxJnSnWeFDpJWFkFmSCiDlgs1nQ9gVsZ4kFntzJ54G.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x214,240x320,360x480,480x641,540x721,640x854,720x961,959x1280&from=bu&cs=959x0",457239250,-179672049,2020-01-24 06:37:54,Работник в красной форме и кепке наливает соус из кастрюли в миску с едой на кухне ресторана; фон — розовая стена с узором.,показать процесс приготовления блюда,False
"https://sun9-75.userapi.com/s/v1/ig1/RTVZtgxaCO2XZPDY7Cn9fTrCY0_cs-QiRdv5rcc3ChmRTDRrbaI7y4ndxIHbNQWuI5q0ldWh.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,1080x1440,1280x1707,1440x1920,1620x2160&from=bu&cs=1620x0",456239032,261699652,2018-01-22 15:09:49,Белый чайник и чашки на деревянном столе в интерьере; на фоне светлая занавесь и торшер,показать сервировку чая в интерьере,False
"https://sun9-59.userapi.com/s/v1/ig2/3Va_XuWw5hN4BtbudMQSTgDXrH_4qsXB7jK7j6gAJtBEg7gvVIFyZcVEIhod46gxQJJxOLO-I2QTJpAVPNltKJpN.jpg?quality=95&as=32x44,48x66,72x100,108x149,160x221,240x332,360x498,480x664,540x747,640x885,720x996,1080x1494,1280x1770,1440x1992,1851x2560&from=bu&cs=1851x0",457244683,-46008634,2024-01-16 15:01:12,Страница книги с напечатанным русским текстом; видны абзацы и номер страницы внизу справа,передать страницу книги с русским текстом,False
"https://sun9-14.userapi.com/s/v1/if2/MDW94UHKW-b8KCNi03Gn52W1z3zE2P9Kz68jfOX_GiIK2jxlBwF0RCh2fIXnF3wJUbRZpRuIhyNs2JAMXdnOseAC.jpg?quality=96&as=32x24,48x36,72x54,108x81,160x120,240x180,360x270,480x360,540x405,640x480,720x540,1080x810,1280x960,1440x1080,2560x1920&from=bu&cs=2560x0",457244165,33433452,2020-03-23 17:36:58,"Женщина сидит за столом в кафе, перед ней тарелка с закусками и стеклянная кружка",показать человека в кафе за столом с едой,True
"https://sun9-50.userapi.com/s/v1/ig1/6BMcTW2-XBnirLaXeGa9IB-BxyiZoE1IaIfu6q8N1X2xqfFesm27nFkdEJ6BUJWfhB-nmAKL.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960&from=bu&cs=720x0",456243818,533721228,2019-06-04 08:58:21,"Женщина в розовом спортивном топе и полосатых лосинах делает селфи перед зеркалом в ванной; видна мозаичная плитка на стенах, раковина и зеркало, рядом постер/рекламная наклейка",сделать селфи,False
