image_url,annotation_text_description,annotation_user_intent,annotation_has_feor,annotation_has_synagogue
"https://sun9-35.userapi.com/s/v1/if1/jB2wO5oXysLSv6On7E9qLTiK0IcizXtvE1j2TcErtGgEmnqFQJzTR-3FdlflOF9pxrdknKvn.jpg?quality=96&as=32x18,48x27,72x40,108x61,160x90,240x135,360x202,480x270,540x303,640x359,720x404,1080x607,1280x719,1440x809,2560x1438&from=bu&cs=2560x0","Уличная сцена: на переднем плане ярко-красная надпись «СЧАСТЬЕ В ГОРАХ» на металлических/PВ стойках; за ней вход в магазин с витриной и фасад здания, вокруг кусты и зелень",показать уличную сцену с надписью на переднем плане,False,False
"https://sun9-40.userapi.com/s/v1/if1/wWPYvfJ8hTqA-oswgpNMeF1ptmKMCGPRAYcrPMp3tj-w8OW4ZNua7kbYo1VQXCL7wiKNDflO.jpg?quality=96&as=32x18,48x27,72x41,108x61,160x90,240x135,360x203,480x270,540x304,640x360,720x405,1080x608,1280x720,1440x811,2560x1441&from=bu&cs=2560x0","Улица перед жилым многоквартирным домом: тротуар, забор, небольшой пандус и растительность у фасада; на стене граффити.",показать фасад здания на улице и придомовую территорию,False,False
"https://sun9-7.userapi.com/s/v1/if2/Ie-HNHEA1hpVC06g3mBfbWYWPH0iJSvCpRV-vedOxkq5orE5Ilaa8DA6YhdzEA1GL4g5eZv5qv12sUg1xBW7bewN.jpg?quality=95&as=32x24,48x36,72x54,108x81,160x120,240x180,360x270,480x360,540x405,640x480,720x540,1080x810,1280x960,1440x1080,2560x1920&from=bu&cs=2560x0","Уличный мурал на длинной стене: яркие мультяшные существа, преимущественно синие медведи и птицы, красочный фон. Стена примыкает к тротуару, над ней видна часть дерева.",показать уличное граффити,False,False
"https://sun9-36.userapi.com/s/v1/ig2/Hvy_DwSjxfyzzdh13y9rs8DZ2H3alugkERR4DZHBhb5yIjkermfDzqq8SxmV5kVsOBcZ8doH3FQS6qQyFYeob-wQ.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x214,240x321,360x482,480x642,540x722,640x856,720x963,1080x1445,1196x1600&from=bu&cs=1196x0","Группа из четырех человек стоит на тротуаре перед многоэтажным зданием, улыбаются.",сделать групповое фото на улице,False,False
"https://sun9-72.userapi.com/s/v1/ig1/dA1VVko5BrwTXHXhBEFyjXFTBpmXho4fDhOwE2wKROXXpBbCu0WGrefEtsL8PegAA4BIYqPt.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,1080x1440,1280x1707,1440x1920,1620x2160&from=bu&cs=1620x0","Мужчина делает селфи на улице, держит красную розу; на фоне видны городские здания и вывески",сделать селфи с розой,False,False
"https://sun9-65.userapi.com/s/v1/ig2/VHUSj9mcU6i7Y16KoylVlEeX_h1y1_52aA1jzbVMNa3KTiVsqQ7H45h7UjcfWq4KSyjNjyYGd-UibTT_JYjoB9of.jpg?quality=95&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,1080x1440,1280x1707,1440x1920,1920x2560&from=bu&cs=1920x0","Уличный тротуар в снегу и грязи; слева виден фасад здания, вдоль дороги лежат снежные кучи, на проезжей части — автомобили",показать зимнюю городскую улицу,False,False
"https://sun9-45.userapi.com/s/v1/ig2/cFG_VR5h7SXshbjsHfxYAAa_C9YTR-kBEFMYiN62MfQ7SirT7GY3VvOw9_a0Q6ZMwZxaWb_NijhTpuPwCQ2MPenH.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,1080x1440,1280x1707,1440x1920,1620x2160&from=bu&cs=1620x0","Уличная граффити на стене с изображением пожилой женщины, которая держит красный предмет; слева граффити, справа надпись HA!",показать уличное искусство,False,False
"https://sun9-79.userapi.com/s/v1/if2/yDHyJ4ynwcUUzkaSmTFg0gR4zPOG-dsBjTCPq2lnHRcfaxaL1O9MuUEuiExesAwcLHF10nh8qNh3HpO2t7qgfOUg.jpg?quality=95&as=32x15,48x22,72x33,108x50,160x74,240x111,360x166,480x221,540x249,640x295,720x332,1080x498,1280x590,1440x664,2560x1180&from=bu&cs=2560x0","Фасад магазинов вдоль улицы, на газоне перед входами размещены крупные оранжевые буквы",показать фасад магазина и улицу,False,False
"https://sun9-79.userapi.com/s/v1/if2/2thv0Vp5NnmksI9VyHfqDEyT3YqIGLf6ZE1kn4-WCiy2CNky3oT8dkj0rzqrJnfkMEk1IJs-_c3locHezXKwM2M8.jpg?quality=95&as=32x24,48x36,72x54,108x81,160x120,240x180,360x270,480x360,540x405,640x480,720x540,1080x810,1280x960,1440x1080,2560x1920&from=bu&cs=2560x0","Круглое витринное окно на фасаде здания с аркой; через стекло видна городская улица, отражаются прохожие и афиши на стене внутри витрины",задокументировать городскую сцену,False,False
"https://sun9-7.userapi.com/s/v1/if2/5-jhXRE0hloIdrTiO03hx1_Be78YsgtcRKKeBOZeZiOqATQ3boZoIdLL2vsuqsZKjZ4VW1JKEC8Asky5eRpL5Wxz.jpg?quality=96&as=32x24,48x36,72x54,108x81,160x120,240x180,360x270,480x360,540x405,640x480,720x540,1080x810,1280x960&from=bu&cs=1280x0","Фасад желтого кирпичного здания по улице с вывесками, белый забор и голые ветви деревьев на переднем плане",показать фасад здания с вывесками,False,False
"https://sun9-79.userapi.com/s/v1/ig2/UoGZwCTLEJd6gEC_W9P36TM8Enx4Phin18S_RSxN0drrPK6mwysvAS3Azi0-6ubwEPnPAvvYLACinuRJzJGOOJcF.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,1080x1440,1200x1600&from=bu&cs=1200x0",На переднем плане мужчина в белой футболке стоит на газоне перед фасадом здания с вывесками; рядом декоративные буквы 'Счастье в городе' на земле,показать человека на улице,False,False
"https://sun9-83.userapi.com/s/v1/if2/XEzFHjSWnHMWN2WXO9fvdo3JqFIjSo507owybu1hn1hPPWKwtlwcLIOu2LcgEp_8z3n1MSyn6XHQCiLVPiv3Hdmb.jpg?quality=96&as=32x24,48x36,72x54,108x81,160x120,240x180,360x270,480x360,540x405,640x480,720x540,1080x810,1280x960&from=bu&cs=1280x0",Павшая ветка дерева на мокрой газонной территории рядом с белым забором вдоль улицы; на заднем плане стоят автомобили и многоэтажные здания,задокументировать городскую сцену,False,False
"https://sun9-78.userapi.com/s/v1/ig2/lx97lI7lYbQMMjLYBOvAQ9bqw4ZnL5nLSh1iKl4JbdZyQKV7XB7e5UIbwbId8sEBl4oMt9jgji1rcnDCcXkd6l2r.jpg?quality=95&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,1080x1440,1280x1707,1440x1920,1920x2560&from=bu&cs=1920x0",Человек в тёплой одежде с лопатой откапывает снег у кирпично-розового здания с арочным окном,показать процесс уборки снега на улице,False,False
"https://sun9-27.userapi.com/s/v1/ig2/QiBCNwpVlIDvX8BV6cfHfxxfi1aYVeevXZfWly1_nhx83DtfXGQyPC9aqSL0gOoVBQWugTOzyxL8Jjq4-YseDnCa.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960&from=bu&cs=720x0",Два мужчины стоят на лестнице перед большой стеклянной витриной магазина на улице; отражаются деревья и здания на стекле.,показать работу на витрине магазина,False,False
"https://sun9-2.userapi.com/s/v1/ig1/XCj03d9NmdicqUBIuAegGHw3zLfNp3o0QjAAQceWqEmek0riMjm_ldvSHb7SORMleEt7sePE.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,780x1040&from=bu&cs=780x0",Красная надпись на снегу перед кустами; на заднем плане видна часть здания с окном,задокументировать городскую сцену,False,False
"https://sun9-88.userapi.com/s/v1/ig1/uhp0MQzZtweAmJse_P1mTdHnTAwqRFP42GVd8Q6ffgrwqhbzvN-0xRgO1UVToyTKP268FGx7.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960&from=bu&cs=720x0","Стеклянный фасад здания с шестигранными панелями; на лестнице работают люди, и идёт процесс нанесения надписи на стекло, в отражении видны соседние дома и автомобили.",показать фасад здания и рабочий процесс на лестнице,False,False
"https://sun9-17.userapi.com/s/v1/ig2/0x_eVXth7sgKhwR6H1UusonLiV7tKCC9evOIO12y2stWyWHyX8vceMxbRQu3IkWRvkmrKPToa5JVZ3ZHM-Muko6t.jpg?quality=95&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,1080x1440,1280x1707,1440x1920,1920x2560&from=bu&cs=1920x0","Красное кирпичное здание с белыми декоративными элементами на улице; рядом деревья, тротуар и дорожная часть видны слева",показать здание,False,False
"https://sun9-79.userapi.com/s/v1/ig1/SZkonj7558besStZoJ2aCASRmATLd0-rEPW1Aa6S75QHpuXDgQD9yZ0dIca2WH04l9Hyv2Kj.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960&from=bu&cs=720x0","Маленькая девочка в розово-белом спортивном костюме позирует на газоне у дороги; за ней серый внедорожник и деревья, на фоне многоэтажного дома.",показать ребенка на прогулке,False,False
"https://sun9-2.userapi.com/s/v1/if2/fpnm3D5JKkG_5yAPDgf_hxE3uEvkjV-X4X9Tvf6PxGoQhbGz6pM9t2G6C-SFNsIPUF-6JUZq4Pi_OY2jHoOFRdU2.jpg?quality=95&as=32x24,48x36,72x54,108x81,160x120,240x180,360x270,480x360,540x405,640x480,720x540,1080x810,1280x960,1440x1080,1920x1440&from=bu&cs=1920x0","Группа людей на открытой площадке перед зданием; все улыбаются и поднимают руки, создавая радостную композицию. Перед ними на земле расположено круглое кострище с пеплом.",провести групповую фотосессию на улице,False,False
"https://sun9-88.userapi.com/s/v1/ig2/JSc36_KxJlKVAd3greVcqTfrkeQS-yAUn0kA3S4DMi0tIOtqY72hQSggVXXfP16cV2QZI3eQa_-_6aE9fWUQRcsR.jpg?quality=95&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x721,640x854,720x961,1080x1441,1280x1708,1388x1852&from=bu&cs=1388x0","Три женщины стоят на улице, позируют перед камерой; на заднем плане видны здания и улица.",позирование группы на улице,False,False
"https://sun9-88.userapi.com/s/v1/if1/po5l_Bat5FavfuY3m0rbGDYS2a55nEHQA_V6vqZrYbeV_oDftGtp33mY4Q07n1M13vjAn3hH.jpg?quality=96&as=32x18,48x27,72x40,108x61,160x90,240x135,360x202,480x270,540x304,640x360,720x405,1080x607,1280x720&from=bu&cs=1280x0","Высотный вид на городской пейзаж: крыши домов в переднем плане, улицы и река на горизонте",задокументировать городской пейзаж,False,False
"https://sun9-58.userapi.com/s/v1/ig2/YJk8DRWfQlVe7PwhoN35NZX7Me4d4yasH93EFxQeGmYc1zbeHZokVMnFzYMMbfZldSzgF1RRej92FN9QaqVT0vTJ.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,1080x1440,1218x1624&from=bu&cs=1218x0","Один человек стоит перед стеной с граффити; на нём oversized куртка черного и серого цвета, светло-голубые рваные джинсы и розовые кроссовки; человек смотрит вниз на телефон.",показать одежду,False,False
"https://sun9-33.userapi.com/s/v1/if2/rnhSJ1xngG1wBb7rVEiCjseYCuWM30kNK3-xUI88TCXkhg-pXqEjUn6Dek0vRV4fCPtWBD_NJif3sBM1BwQSYiwP.jpg?quality=95&as=32x24,48x36,72x54,108x81,160x120,240x180,360x270,480x360,540x405,640x480,720x540,1080x810,1280x960,1440x1080,1920x1440&from=bu&cs=1920x0","Ночная городская улица: приближающийся автомобиль с яркими бликами фар, мокрый асфальт и снег вдоль обочины",задокументировать городскую сцену,False,False
"https://sun9-9.userapi.com/s/v1/if2/fNpmorkcPIvRONZgouhBCj0T3MjP5LwsXgZFZs_w5EQ8IOAI-9Z3jE9pQFwvd_uuSoRx5kXn0e9gSozSOm-khMRF.jpg?quality=96&as=32x15,48x22,72x34,108x50,160x75,240x112,360x168,480x224,540x252,640x299,720x337,1080x505,1280x598,1440x673,1600x748&from=bu&cs=1600x0",Человек в каске на краю крыши над фасадом магазина с рольставнями; рядом крупное дерево,показать работу на крыше здания,False,False
"https://sun9-8.userapi.com/s/v1/ig2/1Pnnszs_h-yzAXVk7l1j-BlSn5Csr4xxJdY9AuDXAJuweztJsWKaR8Ww1XVG6-WktLJSVP6Jyrn0aIi7wHrOKZF6.jpg?quality=95&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,1080x1440,1200x1600&from=bu&cs=1200x0","Высокое здание с фасадом из шестиугольных стеклянных панелей, вход у нижнего этажа, над входом видна вывеска SOTA","показать здание с фасадом из шестиугольных стеклянных панелей, ракурс снизу вверх",False,False
"https://sun9-41.userapi.com/s/v1/ig1/BQVNE2u1nml0jy1bNcdV7vYNumpN9p7bfNfZXA-f-4A37hxeUWh5Mubc6D8_Beqy7vPrF8tt.jpg?quality=96&as=32x45,48x67,72x100,108x150,160x223,240x334,360x502,480x669,540x752,640x892,689x960&from=bu&cs=689x0","Фасад современного здания с шестигранной стеклянной облицовкой, отражающий небо и соседние здания.",показать фасад здания,False,False
"https://sun9-48.userapi.com/s/v1/if1/kVmN3Ivu2TEvntQly6ao6r_jTdPzZR5mGcE2NxNRCynJfflVc8i__7j5hjRUjahKrnQ4MHk6.jpg?quality=96&as=32x24,48x36,72x54,108x81,160x120,240x180,360x270,480x360,540x405,640x480,720x540,960x720&from=bu&cs=960x0","Стеклянное здание на улице с отражениями деревьев; у фасада стоит лестница-стремянка, рядом рабочий.",показать здание,False,False
"https://sun9-56.userapi.com/s/v1/if2/h9LBHKJ_WszmRV9rgMfIR-HL-zFjHarL2HDh-5FcQzHwJOCT5vJWLg5z01zgwFfk3cnl0RG4wcsqsmGT6L2vNke0.jpg?quality=96&as=32x15,48x22,72x34,108x50,160x75,240x112,360x168,480x224,540x252,640x299,720x337,1080x505,1280x598,1440x673,1600x748&from=bu&cs=1600x0",Грузовик-крано-установка на городской улице; слева видна часть здания и листья на деревьях над дорогой.,показать строительную технику,False,False
"https://sun9-53.userapi.com/s/v1/ig2/FBM0CYFPGwdXwyiUkIGnHXt72ojkWdDOhLcYXTETDh2-aKDLpBn4uMCkgteieGlWfc18Iq7QXj61yW1UUJvNJvce.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,1080x1440,1218x1624&from=bu&cs=1218x0","Ночная витрина магазина одежды в стеклянном фасаде, видны манекены и выставленная одежда внутри",показать витрину магазина и товары,False,False
"https://sun9-76.userapi.com/s/v1/if2/o6Cj2wJsieQVe9gWWrwRslPyzzkdAobBZppG_Swxol1AIX--VGy8agSiEJkrbeRGmzz4Q0A4lJsHPo1vOAkVtNpp.jpg?quality=96&as=32x18,48x27,72x41,108x62,160x92,240x137,360x206,480x275,540x309,640x367,720x412,915x524&from=bu&cs=915x0","Уличное здание с фасадом и окнами; вдоль тротуара идёт человек, вокруг деревья.",показать здание на улице,False,False
"https://sun9-48.userapi.com/s/v1/ig2/vPbvHQnhoBrppxmcV4Q_2FrA1v49M-rtkvGSWvbpEZ3pUWRtPo8vgtPy-Bj5J02_c2ytRQSnx_sd2zhtorgm964X.jpg?quality=96&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,1080x1080,1280x1280,1440x1440,1920x1920&from=bu&cs=1920x0","Черный внедорожник на снежной улице, позади видны деревья и здания",показать автомобиль на зимней городской улице,False,False
"https://sun9-65.userapi.com/s/v1/if2/PhJEvTmg8rJkBJpYYaswWXl1i_Coc_tE4PcY1vMKLT71ExrkDWnwaGJfC638N8dtYgCmgLtkmLt_q5gsj9xD5MaB.jpg?quality=96&as=32x24,48x36,72x54,108x81,160x120,240x180,360x270,480x360,540x405,640x480,720x540,1080x809,1280x959,1440x1079,1920x1439&from=bu&cs=1920x0",Ночной фасад магазина с яркими неоновыми геометрическими рамами на стеклянном фасаде; видна витрина и внутреннее освещение.,показать неоновую архитектуру магазина в ночное время,False,False
"https://sun9-5.userapi.com/s/v1/ig2/vmNMUTu2dswCrewaqofVBZtiBHzmDjNrms_J0dNYZAhJoKbceY-Hs5HCtpZSYaCcisOjVNWl0rrUvIVt4EiSGlRI.jpg?quality=96&as=32x69,48x103,72x155,108x232,160x344,240x515,360x773,480x1031,540x1160,640x1374,720x1546,745x1600&from=bu&cs=745x0",Человек в каске в рабочей экипировке на стволе дерева выполняет обрезку веток на фоне жилого здания,показать работу на высоте по обрезке дерева,False,False
"https://sun9-25.userapi.com/s/v1/ig2/g1rO5kYl3SRAFqpB2ihcDRE5rhYQJ_7L4PgSEE-qjTIZiiUnyl_co03NJ8ZOFfrctgjFxE2Bkf3D1n73WzJ9o44G.jpg?quality=95&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,1080x1440,1200x1600&from=bu&cs=1200x0","Красное здание с большими окнами, частично закрыто зеленью дерева",показать здание,False,False
"https://sun9-84.userapi.com/s/v1/if2/sXDedQmmhE7nfNkpkbFb9g7xCu2uMuJTflbE27tVESrKIhBB75c31vgeZq1t0Qz9EauL7Xy-SmeNCOb0LqhTH8Td.jpg?quality=96&as=32x24,48x36,72x54,108x81,160x120,240x180,360x270,480x360,540x405,640x480,720x540,1080x810,1280x960,1440x1080,2560x1920&from=bu&cs=2560x0",Стена с граффити-муралом: музыкант с аккордеоном и второй человек; рядом висят садовые инструменты; частично видно здание и колесо велосипеда.,показать граффити на стене с музыкантом и инструментами,False,False
"https://sun9-73.userapi.com/s/v1/ig1/LXvPqQ2gAjg5L5ypr6-8f0Okg5TIfrYxfTg_S8XK9v7vnxuSFC4kmc6q7XAd8FzFznIZKw.jpg?quality=96&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,960x960&from=bu&cs=960x0",Стеклянный фасад здания с зелёной вывеской и большими цифрами; в переднем плане рука человека,показать витрину с номером телефона,False,False
"https://sun9-8.userapi.com/s/v1/ig2/d43QOxg9t-qUbZQzHjfnItk8BGm4bASDiDpuhuD3NTTG5O-CHawAsFf46V2HQwoaCIDoE7nh1KSELEtWvYo_xK_8.jpg?quality=95&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x721,640x854,720x961,1080x1441,1280x1708,1388x1852&from=bu&cs=1388x0","Группа людей на улице держит плакаты/таблички, участвуют в демонстрации.",задокументировать городскую сцену,False,False
"https://sun9-46.userapi.com/s/v1/ig2/Qs7EikQ_VQntNDkS0Qz61Y-LK7d2vb676CKtJZWpR8UjRAOJ9XQLn8DbFTwXGM64LZw3q7PAXu7amFhK4a4dFqJx.jpg?quality=95&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,1080x1440,1280x1707,1440x1920,1920x2560&from=bu&cs=1920x0",Группа девушек на улице возле башни из деревянных паллет; они взаимодействуют с конструкцией.,показать группу людей на улице,False,False
"https://sun9-55.userapi.com/s/v1/ig1/PTdQzp95qTB2HCnt5uqAbs52jUsvrS8jSsWLy5ZZU7IPxGRZ5JEfciTkTLAroAgBfYxedjuN.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x214,240x320,360x481,480x641,540x721,640x855,719x960&from=bu&cs=719x0","Женщина держит букет красных роз на улице, перед рядом припаркованных автомобилей; кадр сосредоточен на лице и букете.",показать букет цветов,False,False
"https://sun9-63.userapi.com/s/v1/ig2/mtPqb9PBbnOimlxQveGfm-S_ko4SrzCap5MtFpj_zPiYRHSM2DajluFqlmJseyFahL23G0WVvuwFats04owdMrvf.jpg?quality=96&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,1080x1080,1280x1280,1440x1440,2160x2160&from=bu&cs=2160x0","Женщина в светлых брюках и белой блузке стоит на тротуаре перед современным стеклянным зданием, в кадре виден городской фон",показать человека на фоне городского здания,False,False
"https://sun9-85.userapi.com/s/v1/ig2/MkmQGXGZOB1IooUA1QYe8QIxIe-NmEw0IGclPIKlOUHhlERIuAgHxgJAwZxbuizOktKhmYbxtpXNG3coNv5sfTVz.jpg?quality=95&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,1080x1440,1266x1688&from=bu&cs=1266x0",Яркая желтая неоновая вывеска на улице; читается слово 'PLACE' на фоне стены с снегом,показать вывеску на улице,False,False
"https://sun9-3.userapi.com/s/v1/ig1/6LT4HGzYpHxKRlNEG_ZNXzYQaOg1hGXETt65LWFW47HWQ8ANiokCv9VAHjGypL8j22ojxlai.jpg?quality=96&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,960x960&from=bu&cs=960x0","Женщина позирует у кирпичной стены с граффити-пингвином; на переднем плане тротуар, рядом растительность",показать человека на фоне граффити,False,False
"https://sun9-25.userapi.com/s/v1/ig2/SjiJkIeQoAPQnY8gV2v_pnkRCkcEgZjCkEZSEq9X_P98lMCeIaMzGyZwAcbhTLkViiuADswNYQI1Dg3B2PpIwh9m.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,1080x1440,1200x1600&from=bu&cs=1200x0",Мужчина в красной строительной каске и жёлтом жилете стоит на улице среди зелени; за его спиной видны дерево и здание с оградой.,сделать селфи,False,False
"https://sun9-28.userapi.com/s/v1/ig1/6Aw0Qxj5aFxoiS9pxv1ypENUYD_p6xcaWua2D-wFjkY97uQgw12HIPyQZEqNr6OOwzKPmnDF.jpg?quality=96&as=32x43,48x64,72x96,108x145,160x214,240x321,360x482,480x643,540x723,640x857,720x964,968x1296&from=bu&cs=968x0","Ребёнок в жёлтом венке из цветов стоит на улице, держится за ручку самоката; на заднем плане старое здание с окнами.","портрет ребёнка на улице, фронтальный ракурс, венок из цветов",False,False
